module	wave84_call	n_contexts	n_tissue_nominal_auc60	n_tissue_support_datasets	n_blood_nominal_auc60	tissue_nominal_directions	blood_nominal_directions	tissue_direction_conflict	blood_tissue_direction_contradiction	best_tissue_system	best_tissue_adjusted_effect	best_tissue_adjusted_p	best_tissue_oriented_auc	best_blood_system	best_blood_adjusted_effect	best_blood_adjusted_p	best_blood_oriented_auc
lysosomal_apc__resid_inflammatory_nfkb	PARK_TISSUE_STRATIFICATION_SIGNAL	3	2	2	0	higher_in_responders		False	False	RA_synovium_antiTNF	0.2707064440560306	0.03441316781972741	0.6861598440545809				
ifn_lysosomal_apc_composite	PARK_TISSUE_STRATIFICATION_SIGNAL	3	2	2	0	higher_in_responders		False	False	RA_synovium_antiTNF	0.24599808262540565	0.05811757674804424	0.6569200779727096				
mif_cd74_receptor_state	NO_GO_TISSUE_SIGNAL_BLOOD_CONTRADICTION	6	2	2	0	higher_in_responders;lower_in_responders		True	False	IBD_Mono_macro_antiTNF	-0.45751634311948564	0.0035277162100834513	0.8173076923076923	RA_blood_CD4_T_cell_antiTNF	0.183097471972969	0.24782443636055093	0.5708635464733026
lipid_loader_repair	NO_GO_TISSUE_SIGNAL_BLOOD_CONTRADICTION	6	2	2	0	higher_in_responders;lower_in_responders		True	False	RA_synovium_antiTNF	-0.21986278399364212	0.02901758106422501	0.7056530214424951	RA_blood_CD4_T_cell_antiTNF	0.1297081234407772	0.17712075066952654	0.6018457481872116
lysosomal_apc	NO_GO_TISSUE_SIGNAL_BLOOD_CONTRADICTION	6	2	2	1	higher_in_responders	lower_in_responders	False	True	RA_synovium_antiTNF	0.27070644405603056	0.03441316781972747	0.6861598440545809	RA_blood_CD14_monocyte_antiTNF	-0.28185386623744013	0.03895049117175384	0.6394199077125906
hla_ii_apc__resid_ifn_apc_inflammatory_nfkb	NO_GO_STRATIFICATION_NOT_REPLICATED	3	2	1	0	lower_in_responders		False	False	IBD_Mono_macro_antiTNF	-0.4240215277109032	0.0009405980660445331	0.8798076923076923				
hla_ii_apc	NO_GO_STRATIFICATION_NOT_REPLICATED	6	1	1	0	lower_in_responders		False	False	IBD_Mono_macro_antiTNF	-0.48141340106188396	0.0019204753762359266	0.8317307692307693	RA_blood_CD4_T_cell_antiTNF	0.22580994634025559	0.2539243416217548	0.5800922874093606
ifn_lysosomal_apc_composite__resid_inflammatory_nfkb	NO_GO_STRATIFICATION_NOT_REPLICATED	3	1	1	0	higher_in_responders		False	False	RA_synovium_antiTNF	0.2459980826254055	0.05811757674804441	0.6569200779727096				
ifn_apc__resid_inflammatory_nfkb	NO_GO_STRATIFICATION_NOT_REPLICATED	3	0	0	0			False	False	RA_synovium_antiTNF	0.22128972119478096	0.14573772772715776	0.6354775828460039				
ifn_apc	NO_GO_STRATIFICATION_NOT_REPLICATED	6	0	0	0			False	False	RA_synovium_antiTNF	0.22128972119478085	0.1457377277271579	0.6354775828460039	RA_blood_CD4_T_cell_antiTNF	0.1978368927719023	0.19554412067070703	0.5893210283454186
inflammatory_nfkb	NO_GO_STRATIFICATION_NOT_REPLICATED	6	0	0	0			False	False	IBD_DC_antiTNF	0.12181521620399187	0.4600053897354636	0.6586538461538461	RA_blood_CD4_T_cell_antiTNF	0.16177200851278667	0.24851593573196706	0.5912986156888596
complement_phagocytosis	NO_GO_STRATIFICATION_NOT_REPLICATED	3	0	0	1		lower_in_responders	False	False					RA_blood_CD14_monocyte_antiTNF	-0.262247801033048	0.02711586958727627	0.6460118655240606
