analysis_set	seed	candidate	n	n_bootstrap	meaningful_improvement_margin	observed_delta_auc	delta_q05	delta_median	one_sided_upper_q95	bootstrap_probability_delta_ge_margin	nonsuperiority_pass
bounded_immune_remodeling	57091	delta_RECEPTOR	19	200000	0.05	-0.15555555555555556	-0.37777777777777777	-0.15555555555555556	0.07777777777777783	0.07433	False
bounded_immune_remodeling	57091	coupled_projection	19	200000	0.05	-0.12222222222222223	-0.28888888888888886	-0.12222222222222223	0.04444444444444451	0.04964	True
bounded_immune_remodeling	57091	coupled_v22_augmented	19	200000	0.05	-0.1777777777777778	-0.4	-0.1777777777777778	0.0444444444444444	0.04564	True
bounded_immune_remodeling	57091	coupling_coordination	19	200000	0.05	-0.07777777777777783	-0.3111111111111111	-0.07777777777777772	0.15555555555555556	0.179335	False
bounded_immune_remodeling	57091	apc_vector_norm	19	200000	0.05	-0.4222222222222222	-0.6333333333333333	-0.4222222222222222	-0.2222222222222222	2.5e-05	True
bounded_immune_remodeling	57091	hla_vs_ifn_angle	19	200000	0.05	-0.32222222222222224	-0.5555555555555556	-0.33333333333333326	-0.06666666666666676	0.007595	True
bounded_immune_remodeling	57091	hla_ifn_product	19	200000	0.05	-0.16666666666666663	-0.4444444444444444	-0.16666666666666674	0.12222222222222223	0.10757	False
bounded_immune_remodeling	57091	family_maximum_of_7	19	200000	0.05	-0.07777777777777783	-0.20000000000000007	-0.022222222222222254	0.18888888888888888	0.26626	False
bounded_immune_remodeling	57092	delta_RECEPTOR	19	200000	0.05	-0.15555555555555556	-0.37777777777777777	-0.15555555555555556	0.07777777777777783	0.074135	False
bounded_immune_remodeling	57092	coupled_projection	19	200000	0.05	-0.12222222222222223	-0.28888888888888886	-0.12222222222222223	0.05555555555555547	0.050515	False
bounded_immune_remodeling	57092	coupled_v22_augmented	19	200000	0.05	-0.1777777777777778	-0.4	-0.1777777777777778	0.0444444444444444	0.045545	True
bounded_immune_remodeling	57092	coupling_coordination	19	200000	0.05	-0.07777777777777783	-0.3111111111111111	-0.07777777777777772	0.15555555555555556	0.178855	False
bounded_immune_remodeling	57092	apc_vector_norm	19	200000	0.05	-0.4222222222222222	-0.6333333333333333	-0.4222222222222222	-0.2222222222222222	2e-05	True
bounded_immune_remodeling	57092	hla_vs_ifn_angle	19	200000	0.05	-0.32222222222222224	-0.5555555555555556	-0.33333333333333326	-0.06666666666666676	0.007585	True
bounded_immune_remodeling	57092	hla_ifn_product	19	200000	0.05	-0.16666666666666663	-0.4444444444444444	-0.16666666666666674	0.12222222222222223	0.10863	False
bounded_immune_remodeling	57092	family_maximum_of_7	19	200000	0.05	-0.07777777777777783	-0.20000000000000007	-0.022222222222222254	0.18888888888888888	0.26675	False
bounded_immune_remodeling	57093	delta_RECEPTOR	19	200000	0.05	-0.15555555555555556	-0.37777777777777777	-0.15555555555555556	0.07777777777777783	0.073335	False
bounded_immune_remodeling	57093	coupled_projection	19	200000	0.05	-0.12222222222222223	-0.28888888888888886	-0.12222222222222223	0.04444444444444451	0.049435	True
bounded_immune_remodeling	57093	coupled_v22_augmented	19	200000	0.05	-0.1777777777777778	-0.4	-0.1777777777777778	0.0444444444444444	0.046095	True
bounded_immune_remodeling	57093	coupling_coordination	19	200000	0.05	-0.07777777777777783	-0.3111111111111111	-0.07777777777777772	0.1444444444444445	0.178355	False
bounded_immune_remodeling	57093	apc_vector_norm	19	200000	0.05	-0.4222222222222222	-0.6333333333333333	-0.4222222222222222	-0.2222222222222222	1.5e-05	True
bounded_immune_remodeling	57093	hla_vs_ifn_angle	19	200000	0.05	-0.32222222222222224	-0.5555555555555556	-0.33333333333333326	-0.07777777777777772	0.00732	True
bounded_immune_remodeling	57093	hla_ifn_product	19	200000	0.05	-0.16666666666666663	-0.4444444444444444	-0.16666666666666674	0.12222222222222223	0.10769	False
