visual	check	status	detail
__suite__	browser_available	PASS	Google Chrome 150.0.7871.182
CONTRIBUTOR_LIFECYCLE_V55.svg	source_exists	PASS	/Users/soeren.leibach/Projects/ms-auto-research/docs/onboarding/visuals/CONTRIBUTOR_LIFECYCLE_V55.svg
CONTRIBUTOR_LIFECYCLE_V55.svg	canvas_valid	PASS	1200x780; matching viewBox
CONTRIBUTOR_LIFECYCLE_V55.svg	browser_render	PASS	returncode=0; terminated_after_output=True; stderr_present=True
CONTRIBUTOR_LIFECYCLE_V55.svg	render_nontrivial	PASS	temporary PNG bytes=163697
CONTRIBUTOR_LIFECYCLE_V55.svg	render_dimensions	PASS	expected=1200x780; actual=1200x780
CONTRIBUTOR_LIFECYCLE_V55.svg	render_fingerprint	PASS	sha256=dbbebf846e4f9fffe1795c5ffba51609d682b7843faa9eed6924b8b6484ddcfd; raster intentionally deleted after test
EVIDENCE_LANES_V55.svg	source_exists	PASS	/Users/soeren.leibach/Projects/ms-auto-research/docs/onboarding/visuals/EVIDENCE_LANES_V55.svg
EVIDENCE_LANES_V55.svg	canvas_valid	PASS	1200x760; matching viewBox
EVIDENCE_LANES_V55.svg	browser_render	PASS	returncode=0; terminated_after_output=True; stderr_present=True
EVIDENCE_LANES_V55.svg	render_nontrivial	PASS	temporary PNG bytes=170871
EVIDENCE_LANES_V55.svg	render_dimensions	PASS	expected=1200x760; actual=1200x760
EVIDENCE_LANES_V55.svg	render_fingerprint	PASS	sha256=e9c6b33b44b32ed3c00dc65b6e8d9def71ffca63d6be13d002c2acd838313b46; raster intentionally deleted after test
MONITORING_LEAD_V55.svg	source_exists	PASS	/Users/soeren.leibach/Projects/ms-auto-research/docs/onboarding/visuals/MONITORING_LEAD_V55.svg
MONITORING_LEAD_V55.svg	canvas_valid	PASS	1200x780; matching viewBox
MONITORING_LEAD_V55.svg	browser_render	PASS	returncode=0; terminated_after_output=True; stderr_present=True
MONITORING_LEAD_V55.svg	render_nontrivial	PASS	temporary PNG bytes=189215
MONITORING_LEAD_V55.svg	render_dimensions	PASS	expected=1200x780; actual=1200x780
MONITORING_LEAD_V55.svg	render_fingerprint	PASS	sha256=53b129c53a597109576e6ef4ff78f7279989b72a64951c64afb643660dba14ad; raster intentionally deleted after test
OPEN_PROBLEM_BOARD_V55.svg	source_exists	PASS	/Users/soeren.leibach/Projects/ms-auto-research/docs/onboarding/visuals/OPEN_PROBLEM_BOARD_V55.svg
OPEN_PROBLEM_BOARD_V55.svg	canvas_valid	PASS	1200x820; matching viewBox
OPEN_PROBLEM_BOARD_V55.svg	browser_render	PASS	returncode=0; terminated_after_output=True; stderr_present=True
OPEN_PROBLEM_BOARD_V55.svg	render_nontrivial	PASS	temporary PNG bytes=210056
OPEN_PROBLEM_BOARD_V55.svg	render_dimensions	PASS	expected=1200x820; actual=1200x820
OPEN_PROBLEM_BOARD_V55.svg	render_fingerprint	PASS	sha256=2ef38fada8dac0ed59e451c5248335d1e9674dd014dec5beb7a16e48f68566a8; raster intentionally deleted after test
RELAPSE_VS_PROGRESSION_V55.svg	source_exists	PASS	/Users/soeren.leibach/Projects/ms-auto-research/docs/onboarding/visuals/RELAPSE_VS_PROGRESSION_V55.svg
RELAPSE_VS_PROGRESSION_V55.svg	canvas_valid	PASS	1200x760; matching viewBox
RELAPSE_VS_PROGRESSION_V55.svg	browser_render	PASS	returncode=0; terminated_after_output=True; stderr_present=True
RELAPSE_VS_PROGRESSION_V55.svg	render_nontrivial	PASS	temporary PNG bytes=177063
RELAPSE_VS_PROGRESSION_V55.svg	render_dimensions	PASS	expected=1200x760; actual=1200x760
RELAPSE_VS_PROGRESSION_V55.svg	render_fingerprint	PASS	sha256=a6359ada892481af4834e0a7468dd5372fcc28397932b382703e22174033aee6; raster intentionally deleted after test
RESEARCH_EVOLUTION_V55.svg	source_exists	PASS	/Users/soeren.leibach/Projects/ms-auto-research/docs/onboarding/visuals/RESEARCH_EVOLUTION_V55.svg
RESEARCH_EVOLUTION_V55.svg	canvas_valid	PASS	1200x1080; matching viewBox
RESEARCH_EVOLUTION_V55.svg	browser_render	PASS	returncode=0; terminated_after_output=True; stderr_present=True
RESEARCH_EVOLUTION_V55.svg	render_nontrivial	PASS	temporary PNG bytes=311625
RESEARCH_EVOLUTION_V55.svg	render_dimensions	PASS	expected=1200x1080; actual=1200x1080
RESEARCH_EVOLUTION_V55.svg	render_fingerprint	PASS	sha256=fa2b7eb0726b2e084f0775ac1aa4e896f86f27eba6973269623f819e17c6ddb7; raster intentionally deleted after test
EVIDENCE_JOURNEY_V55.svg	source_exists	PASS	/Users/soeren.leibach/Projects/ms-auto-research/docs/onboarding/visuals/EVIDENCE_JOURNEY_V55.svg
EVIDENCE_JOURNEY_V55.svg	canvas_valid	PASS	1200x940; matching viewBox
EVIDENCE_JOURNEY_V55.svg	browser_render	PASS	returncode=0; terminated_after_output=True; stderr_present=True
EVIDENCE_JOURNEY_V55.svg	render_nontrivial	PASS	temporary PNG bytes=200420
