gene	target_id	approved_name	wave55_score	closed_axis	n_diseases_genetic_ge_0_25	diseases_genetic_ge_0_25	n_diseases_genetic_ge_0_5	diseases_genetic_ge_0_5	n_diseases_overall_ge_0_3	ms_genetic_association	ms_overall_score	max_overall_score	max_clinical_score	max_literature_score	local_positive_disease_count	local_negative_disease_count	local_positive_diseases	ms_wm_delta_log2	ms_wm_p	ms_wm_fdr	strict_residual_disease_count	in_lipid_lysosomal_myeloid_neighborhood	best_direct_selectivity_score	best_direct_target_suppression	direct_evidence_calls	foundation_recommendation
IL7R	ENSG00000168685	interleukin 7 receptor	26.0	False	7	AITD;Crohn;MS;PBC;Psoriasis;SLE;T1D	7	AITD;Crohn;MS;PBC;Psoriasis;SLE;T1D	7	0.7885940637617141	0.5755767565735939	0.5755767565735939	0.0	0.8421622906901755	3	0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	-0.6536992297096775	0.5724603142052797	0.9431647247323408	1	False				do_not_promote
SP140	ENSG00000079263	SP140 nuclear body protein	26.0	False	6	AS;Crohn;MS;Psoriasis;RA;UC	6	AS;Crohn;MS;Psoriasis;RA;UC	6	0.7593921205206332	0.4647797254821645	0.4811263565322617	0.0	0.5046103221229447	4	0	Crohn disease;Sjogren syndrome;psoriasis;ulcerative colitis	-0.0867628128456026	0.7262224269643743	0.9677805697088556	0	False				
CD40	ENSG00000101017	CD40 molecule	24.0	False	8	AITD;AS;Crohn;MS;Psoriasis;RA;SLE;UC	8	AITD;AS;Crohn;MS;Psoriasis;RA;SLE;UC	8	0.7292906022301274	0.4555174061769214	0.5962519902089006	0.17333457997235344	0.916739387666332	2	1	Crohn disease;ulcerative colitis	-0.5445775168848961	0.0540269612921963	0.8904676266102052	0	False				
STAT4	ENSG00000138378	signal transducer and activator of transcription 4	24.0	False	9	AITD;Celiac;Crohn;MS;PBC;RA;SLE;Sjogren;T1D	7	AITD;Celiac;MS;PBC;RA;SLE;Sjogren	8	0.655585325609798	0.40336907556436014	0.6185086015841468	0.0	0.9286451990515842	2	0	Crohn disease;ulcerative colitis	0.8684079555977076	0.4607005214454064	0.9239963547089984	0	False	-0.0502650068931169	0.0	null_or_wrong_direction	
BACH2	ENSG00000112182	BACH transcriptional regulator 2	23.0	False	10	AITD;AS;Celiac;Crohn;MS;Psoriasis;RA;SLE;T1D;UC	10	AITD;AS;Celiac;Crohn;MS;Psoriasis;RA;SLE;T1D;UC	10	0.7231039278192867	0.4411977390831753	0.5475746309190753	0.0	0.725610722719412	1	0	Sjogren syndrome	-1.247739315378678	0.2980719423940499	0.9075477698307116	0	False				
INAVA	ENSG00000163362	innate immunity activator	23.0	False	7	AS;Celiac;Crohn;MS;Psoriasis;RA;UC	6	AS;Crohn;MS;Psoriasis;RA;UC	6	0.6676684262582133	0.4058961989152514	0.507917788999701	0.0	0.06794977620637892	1	1	type 1 diabetes mellitus	0.0	1.0	1.0	0	False				
PRDM1	ENSG00000057657	PR/SET domain 1	23.0	False	6	AS;Crohn;Psoriasis;RA;SLE;UC	5	AS;Crohn;Psoriasis;RA;UC	6	0.0	0.0	0.5040980522815545	0.0	0.7571058343208941	3	0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	-0.0411396810451609	0.9031141115364548	0.9853557740270772	0	False	-0.0029204183808801	0.0	null_or_wrong_direction	
PUS10	ENSG00000162927	pseudouridine synthase 10	23.0	False	7	AS;Celiac;Crohn;MS;Psoriasis;RA;UC	4	Celiac;Crohn;MS;UC	5	0.5871795903065286	0.35696455667631277	0.45060423480310047	0.0	0.07202291255037678	1	1	type 1 diabetes mellitus	-0.1800350557802215	0.5667268975128495	0.94290799259041	0	False				
SPRED2	ENSG00000198369	sprouty related EVH1 domain containing 2	23.0	False	6	Celiac;Crohn;MS;Psoriasis;RA;SLE	4	Crohn;MS;RA;SLE	4	0.6798598760820634	0.4133077567307067	0.4796783603464134	0.0	0.18145045612046856	1	1	type 1 diabetes mellitus	-0.2835103518497526	0.2238020768563351	0.8993702893651148	0	False				
TAGAP	ENSG00000164691	T cell activation RhoGTPase activating protein	23.0	False	9	AITD;AS;Celiac;Crohn;MS;Psoriasis;RA;T1D;UC	7	AITD;Celiac;Crohn;MS;Psoriasis;RA;T1D	7	0.7690720106401111	0.4699087670608812	0.5172674157749851	0.0	0.22020390626804803	1	1	Crohn disease	0.4550322625700271	0.2565170635340987	0.9037679420388188	0	False				
IL12B	ENSG00000113302	interleukin 12B	22.5	False	11	AITD;AS;Celiac;Crohn;MS;PBC;Psoriasis;RA;SLE;T1D;UC	7	Crohn;MS;PBC;Psoriasis;RA;SLE;UC	8	0.6698761173306804	0.4317686511788899	0.7934509118297774	0.9947824938941359	0.68368012743092	0	0		0.2347246460272134	0.8363232772483672	0.9761732664217524	0	False				
ANKRD55	ENSG00000164512	ankyrin repeat domain 55	22.0	False	10	AITD;AS;Celiac;Crohn;MS;Psoriasis;RA;SLE;T1D;UC	7	AS;Crohn;MS;Psoriasis;RA;SLE;T1D	7	0.710779114428204	0.43690126528949996	0.49629901064264814	0.0	0.22347740462115429	0	0		-0.248205733458104	0.8213839388878235	0.9761732664217524	0	False				
BANK1	ENSG00000153064	B cell scaffold protein with ankyrin repeats 1	22.0	False	6	AS;Crohn;Psoriasis;RA;SLE;UC	6	AS;Crohn;Psoriasis;RA;SLE;UC	6	0.0	0.0	0.5697415815634396	0.0	0.7954020374096181	2	0	Crohn disease;ulcerative colitis	-1.3276943484174517	0.2391155920390936	0.9004758652001262	0	False				
CCL20	ENSG00000115009	C-C motif chemokine ligand 20	22.0	False	5	AS;Crohn;Psoriasis;RA;UC	5	AS;Crohn;Psoriasis;RA;UC	5	0.0	0.0	0.4687556879905861	0.0	0.7950547360286191	4	0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	1.1469018183892334	0.0611072952242856	0.8989378106274888	0	False				
CDKAL1	ENSG00000145996	CDKAL1 threonylcarbamoyladenosine tRNA methylthiotransferase	22.0	False	6	AS;Crohn;Psoriasis;RA;T1D;UC	4	Crohn;Psoriasis;T1D;UC	4	0.0	0.0	0.48163616008008575	0.0	0.1307596127494817	2	0	Crohn disease;type 1 diabetes mellitus	-0.6895238072804037	0.4020741645624514	0.9157809859344704	0	False				
ELMO1	ENSG00000155849	engulfment and cell motility 1	22.0	False	7	AITD;Celiac;Crohn;MS;PBC;Psoriasis;RA	6	Celiac;Crohn;MS;PBC;Psoriasis;RA	7	0.5108727446557169	0.3475048137899376	0.4887446129048804	0.0	0.6875666661084168	0	0		-0.2660429536334607	0.115590147912949	0.8989378106274888	0	False				
IRF4	ENSG00000137265	interferon regulatory factor 4	22.0	False	7	AITD;Celiac;Crohn;Psoriasis;RA;SLE;T1D	4	AITD;Celiac;RA;T1D	6	0.0	0.33527853182715517	0.4971338932332336	0.0	0.8518865684738582	2	0	Sjogren syndrome;ulcerative colitis	0.0444471151552097	0.910671703211036	0.9869419643747628	0	False				
JAZF1	ENSG00000153814	JAZF zinc finger 1	22.0	False	8	AS;Crohn;MS;Psoriasis;RA;SLE;T1D;UC	7	AS;Crohn;Psoriasis;RA;SLE;T1D;UC	8	0.4558970423902871	0.43886831783697833	0.47067915361229856	0.0	0.3084369641719846	0	0		-0.5307690698614227	0.0395106029515515	0.85672364651018	0	False				
TNFSF15	ENSG00000181634	TNF superfamily member 15	22.0	False	10	AITD;AS;Celiac;Crohn;PBC;Psoriasis;RA;SLE;T1D;UC	10	AITD;AS;Celiac;Crohn;PBC;Psoriasis;RA;SLE;T1D;UC	10	0.0	0.0	0.5392401806246548	0.0	0.4793535029518927	2	0	psoriasis;ulcerative colitis	0.3944092138441286	0.7556576392930524	0.9708581480143637	0	False				
