gene	europepmc_query	europepmc_hit_count	europepmc_top_hits	europepmc_status	europepmc_mode	europepmc_url
IL7R	IL7R autoimmune multiple sclerosis therapeutic target	600	41775781: Integrative mendelian randomization approaches for therapeutic target prioritisation in immune-mediated diseases. (2026) | 41589763: Engineered ETS1-Nanoconjugate Restores Immune Homeostasis through Dual Immune-Vascular Modulation in Relapsing and Progressive Multiple Sclerosis. (2026) | 41909652: Insights into the pathogenesis of rheumatic and immune diseases from single-cell omics. (2026)	200	live	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=IL7R+autoimmune+multiple+sclerosis+therapeutic+target&format=json&pageSize=3&resultType=lite
SP140	SP140 autoimmune multiple sclerosis therapeutic target	61	40968173: Rewiring interferon fate: a bidirectional strategy for immune homeostasis. (2025) | 40795062: Anti-Mi2 autoantibodies target PHD fingers of SP140L and TIF1γ, while anti-TIF1γ autoantibodies primarily bind TIF1γ outside the PHD region. (2025) | 41970282: Autoantibodies in the diagnostics, prognostics and follow-up of primary biliary cholangitis. (2026)	200	live	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=SP140+autoimmune+multiple+sclerosis+therapeutic+target&format=json&pageSize=3&resultType=lite
CD40	CD40 autoimmune multiple sclerosis therapeutic target	4564	PPR1218853: A CRISPR-Cas9 screen Reveals STEEP1 as a Key Host Dependency Factor for Epstein-Barr Virus Latent Membrane Protein 1 Trafficking and Signaling (2026) | 41909652: Insights into the pathogenesis of rheumatic and immune diseases from single-cell omics. (2026) | IND609303670: The role of soluble CD40L in autoimmune diseases (2025)	200	live	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=CD40+autoimmune+multiple+sclerosis+therapeutic+target&format=json&pageSize=3&resultType=lite
STAT4	STAT4 autoimmune multiple sclerosis therapeutic target	1429	42009010: Identification of genetic risk loci associated with aquaporin 4-positive neuromyelitis optica spectrum disorder: a genome-wide association study. (2026) | 41079230: Investigation of the pathogenic variants induced Sjogren's syndrome in Turkish population. (2025) | 41716022: The role and mechanism of IL‑35 in myasthenia gravis (Review). (2026)	200	live	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=STAT4+autoimmune+multiple+sclerosis+therapeutic+target&format=json&pageSize=3&resultType=lite
BACH2	BACH2 autoimmune multiple sclerosis therapeutic target	341	41949720: Regulatory B Cells at the Crossroads of Epigenetic Control and Immune Homeostasis. (2026) | PMC13189784: The immune dysregulation landscape and dynamic regulation of competing endogenous RNAs in spinal cord injury () | 41462398: Daphnetin alleviates unexplained recurrent spontaneous abortion by regulating the NR4A1/BACH2 axis in mice. (2025)	200	live	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=BACH2+autoimmune+multiple+sclerosis+therapeutic+target&format=json&pageSize=3&resultType=lite
INAVA	INAVA autoimmune multiple sclerosis therapeutic target	64	41677390: Exploring the Genetic Association and Genetic Architecture of Iridocyclitis and Extraocular Autoimmune Diseases. (2026) | 41299435: Immune cell-based transcriptomic Mendelian randomization and colocalization study on type 1 diabetes. (2025) | 41076532: Nanomedicine targeting the PD-1/PD-L1 axis in autoimmune diseases: breaking conventional barriers to restore immune tolerance. (2025)	200	live	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=INAVA+autoimmune+multiple+sclerosis+therapeutic+target&format=json&pageSize=3&resultType=lite
PRDM1	PRDM1 autoimmune multiple sclerosis therapeutic target	424	41949720: Regulatory B Cells at the Crossroads of Epigenetic Control and Immune Homeostasis. (2026) | 41383619: Transcription factor c-Maf: a checkpoint that programs autoimmunity. (2025) | 41574706: Epigenetic dysregulation of B‑cells in autoimmune diseases and lymphomas (Review). (2026)	200	live	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=PRDM1+autoimmune+multiple+sclerosis+therapeutic+target&format=json&pageSize=3&resultType=lite
PUS10	PUS10 autoimmune multiple sclerosis therapeutic target	17	41466414: Genome-wide association for sarcoidosis identifies novel risk loci and genetic heritability in African and European ancestries: a meta-analysis from the Finngen, Million Veteran Program, UK Biobank, and Biobank Japan datasets. (2025) | 41446042: RNA modifications in health and disease: from mechanistic insights to therapeutic applications. (2025) | 40698864: Research on RNA modification in disease diagnosis and prognostic biomarkers: current status and challenges. (2025)	200	live	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=PUS10+autoimmune+multiple+sclerosis+therapeutic+target&format=json&pageSize=3&resultType=lite
SPRED2	SPRED2 autoimmune multiple sclerosis therapeutic target	48	40868097: Investigation of Novel Therapeutic Targets for Rheumatoid Arthritis Through Human Plasma Proteome. (2025) | 40746422: The role of epigenetics in pulmonary fibrosis: recent advances in mechanistic insights and therapeutic implications. (2025) | 40725086: Co-Occurrence of Endometriosis with Systemic Lupus Erythematosus: Genetic Aspects. (2025)	200	live	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=SPRED2+autoimmune+multiple+sclerosis+therapeutic+target&format=json&pageSize=3&resultType=lite
TAGAP	TAGAP autoimmune multiple sclerosis therapeutic target	68	41058702: TAGAP restrains myeloid and T cell activation in inflammatory bowel disease. (2025) | PMC12979485: Mendelian randomization studies in atopic dermatitis: causal insights across omics layers () | 38375484: Genetic susceptibility and causal pathway analysis of eye disorders coexisting in multiple sclerosis. (2024)	200	live	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=TAGAP+autoimmune+multiple+sclerosis+therapeutic+target&format=json&pageSize=3&resultType=lite
