gene	target_chembl_id	target_name	target_type	organism	target_status	target_mode	target_url	target_raw_path	activity_rows	best_nM	unique_molecules
PTPN22	CHEMBL2889	Tyrosine-protein phosphatase non-receptor type 22	SINGLE PROTEIN	Homo sapiens	200	live	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=PTPN22&limit=10	results_v3/wave49_ptpn22_directionality_audit/raw_api/chembl_target_PTPN22.json	100	270.0	90
PTPN2	CHEMBL3807	Tyrosine-protein phosphatase non-receptor type 2	SINGLE PROTEIN	Homo sapiens	200	live	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=PTPN2&limit=10	results_v3/wave49_ptpn22_directionality_audit/raw_api/chembl_target_PTPN2.json	100	3.0	91
PTPN1	CHEMBL335	Tyrosine-protein phosphatase non-receptor type 1	SINGLE PROTEIN	Homo sapiens	200	live	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=PTPN1&limit=10	results_v3/wave49_ptpn22_directionality_audit/raw_api/chembl_target_PTPN1.json	100	0.42	84
PTPN11	CHEMBL3864	Tyrosine-protein phosphatase non-receptor type 11	SINGLE PROTEIN	Homo sapiens	200	live	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=PTPN11&limit=10	results_v3/wave49_ptpn22_directionality_audit/raw_api/chembl_target_PTPN11.json	100	5.0	99
