database	query	url
GooglePatents	PTPN22 inhibitor autoimmune disease	https://patents.google.com/?q=PTPN22+inhibitor+autoimmune+disease
Espacenet	PTPN22 inhibitor autoimmune disease	https://worldwide.espacenet.com/patent/search?q=PTPN22+inhibitor+autoimmune+disease
GooglePatents	PTPN22 allosteric inhibitor rheumatoid arthritis	https://patents.google.com/?q=PTPN22+allosteric+inhibitor+rheumatoid+arthritis
Espacenet	PTPN22 allosteric inhibitor rheumatoid arthritis	https://worldwide.espacenet.com/patent/search?q=PTPN22+allosteric+inhibitor+rheumatoid+arthritis
GooglePatents	LYP PTPN22 inhibitor autoimmune	https://patents.google.com/?q=LYP+PTPN22+inhibitor+autoimmune
Espacenet	LYP PTPN22 inhibitor autoimmune	https://worldwide.espacenet.com/patent/search?q=LYP+PTPN22+inhibitor+autoimmune
GooglePatents	PTPN22 phosphatase inhibitor multiple sclerosis	https://patents.google.com/?q=PTPN22+phosphatase+inhibitor+multiple+sclerosis
Espacenet	PTPN22 phosphatase inhibitor multiple sclerosis	https://worldwide.espacenet.com/patent/search?q=PTPN22+phosphatase+inhibitor+multiple+sclerosis
