gene	trajectory	first_1_5x_rise_hour	peak_hour	peak_delta_log2	delta_3h	delta_6h	delta_12h
C15ORF48	PBS_LPS	3.0	12.0	3.107495650556766	1.6793691023596846	2.629064953729374	3.107495650556766
C15ORF48	IFNY_LPS	3.0	12.0	3.531583523506219	1.8462194521959	2.841511471789774	3.531583523506219
NDUFA4	PBS_LPS		0.0	0.0	-0.4132958317322366	-0.5503990140732897	-0.808218846523288
NDUFA4	IFNY_LPS		1.0	0.009617957803076393	-0.25028546753317027	-0.26513784618621195	-0.3264420916448172
LITAF	PBS_LPS	3.0	3.0	1.5115601463134052	1.5115601463134052	1.293489016755812	0.4879200285848668
LITAF	IFNY_LPS	3.0	6.0	1.5400790510182922	1.391396020410708	1.5400790510182922	0.661126639855798
CASP4	PBS_LPS	3.0	12.0	1.5750292074125785	1.0646620282104982	1.4803725384214568	1.5750292074125785
CASP4	IFNY_LPS		3.0	0.4623293270594182	0.4623293270594182	0.31172574223840677	0.09896397749131047
CASP1	PBS_LPS	6.0	12.0	1.9462528322130224	0.5189980281347788	1.287187736521683	1.9462528322130224
CASP1	IFNY_LPS	12.0	12.0	0.5917613516477411	0.24326528192632857	0.22493972114205985	0.5917613516477411
CASP5	PBS_LPS	3.0	3.0	3.541363078696375	3.541363078696375	3.440686448025193	2.6265406647629606
CASP5	IFNY_LPS	3.0	3.0	2.4128979148379095	2.4128979148379095	1.8992787357574041	-0.15413702415973507
GSDMD	PBS_LPS	6.0	12.0	1.6798825139051976	0.5411319679750557	1.1672461219654178	1.6798825139051976
GSDMD	IFNY_LPS		12.0	0.46478290118422283	-0.11288847440646155	0.0690307104547987	0.46478290118422283
IL1B	PBS_LPS	1.0	3.0	6.7944637321421775	6.7944637321421775	6.420404859060267	4.266954577132
IL1B	IFNY_LPS	1.0	3.0	6.936166415445219	6.936166415445219	6.195519923772188	4.204125777622637
TNF	PBS_LPS	1.0	1.0	7.1083283370893975	6.5496463352924765	5.810772709026428	4.896802242597372
TNF	IFNY_LPS	1.0	1.0	5.7518576084485495	5.294069225411086	4.336272167309705	2.485690238374765
