gene	NTC_US	NTC_IFNg	Gsk3b_US	Gsk3b_IFNg	Med16_US	Med16_IFNg	NTC_IFNg_vs_NTC_US	Gsk3b_IFNg_vs_NTC_IFNg	Med16_IFNg_vs_NTC_IFNg	Gsk3b_US_vs_NTC_US	Med16_US_vs_NTC_US
Casp1	10.948123841446456	12.129390356332754	11.75112558336727	12.281253907016296	11.563355185588147	12.407002147924201	1.181266514886298	0.15186355068354196	0.2776117915914469	0.8030017419208129	0.6152313441416908
Casp4	8.632995197142957	10.236412891651382	9.171593821802931	9.767080925074277	9.613482540731207	11.314016703901357	1.6034176945084244	-0.46933196657710496	1.0776038122499756	0.5385986246599739	0.9804873435882495
Cd74	10.223599529236369	15.481809940769674	12.179183414342234	14.530548583654053	12.046441948007311	12.991935132701927	5.258210411533305	-0.9512613571156212	-2.4898748080677464	1.955583885105865	1.8228424187709429
Ciita	3.415037499278844	11.62814171892075	2.2223924213364477	9.804668838539365	3.169925001442312	8.257387842692651	8.213104219641906	-1.8234728803813844	-3.3707538762280986	-1.1926450779423963	-0.24511249783653177
Gsdmd	10.454984659447938	11.517833395982667	11.007494536546924	11.900615270182032	11.166581558367941	11.981567281903015	1.062848736534729	0.38278187419936494	0.46373388592034814	0.552509877098986	0.7115968989200034
Gsk3b	11.51175265376738	11.48347991530467	10.907641803665527	10.695518309597217	11.595723694101627	11.349096894179638	-0.028272738462709057	-0.7879616057074532	-0.1343830211250321	-0.6041108501018524	0.08397104033424796
Il1b	4.624490864907794	6.910892526166014	6.1765887317233235	7.752659401271352	6.554588851677638	7.062495925733764	2.2864016612582203	0.8417668751053373	0.15160339956774926	1.5520978668155294	1.9300979867698436
Irf1	9.417149275758696	13.58875366901095	9.164068881319047	13.17367713630342	9.89431252952905	13.27588199663032	4.171604393252254	-0.41507653270753053	-0.3128716723806306	-0.2530803944396496	0.4771632537703532
Litaf	12.69855998492287	12.90407007654614	12.367141694552364	12.668146314934209	12.717462230349666	12.811307789016649	0.20551009162326928	-0.23592376161193052	-0.09276228752949045	-0.33141829037050563	0.01890224542679597
Med16	10.164068881319047	9.999530296254719	9.90789211945359	9.28694273693803	8.118941072723507	7.518325307690866	-0.16453858506432795	-0.7125875593166882	-2.481204988563853	-0.256176761865456	-2.0451278085955398
Ndufa4	12.347252251247228	12.331663421490079	12.219168520462162	11.820045964485535	12.645358214939957	11.99270235104369	-0.01558882975714937	-0.5116174570045438	-0.33896107044638946	-0.1280837307850664	0.2981059636927288
Nfkbia	10.159871336778389	10.992230264965889	11.186526968779441	10.79197682089869	11.12023787734196	11.500177960980606	0.8323589281874995	-0.20025344406719903	0.5079476960147176	1.0266556320010523	0.9603665405635713
Stat1	10.152284842306582	14.764526076414983	10.401946123976536	14.493751228601676	10.048486873992337	13.34091641632652	4.612241234108401	-0.27077484781330696	-1.423609660088463	0.2496612816699546	-0.10379796831424493
Tnf	9.637228637735175	11.411864027299503	10.545286283329531	12.235316202095806	9.989631026616454	11.31741261376487	1.7746353895643274	0.8234521747963033	-0.09445141353463349	0.9080576455943561	0.35240238888127884
