analysis	disease_name	donor_id	disease	group	marker_compartment	module	n_cells	mean_score	high_fraction
gse315138_celiac_marker	celiac disease	Healthy1	normal	control	b_plasma_like	hla_ii_apc	2626	0.08817707729370564	0.2947448591012947
gse315138_celiac_marker	celiac disease	Healthy1	normal	control	b_plasma_like	ifn_apc	2626	-0.02647560432781832	0.20335110434120335
gse315138_celiac_marker	celiac disease	Healthy1	normal	control	b_plasma_like	lysosomal_apc	2626	-0.040774570259345375	0.22086824067022087
gse315138_celiac_marker	celiac disease	Healthy1	normal	control	b_plasma_like	mif_cd74_receptor_state	2626	0.09257881450860388	0.28293983244478293
gse315138_celiac_marker	celiac disease	Healthy1	normal	control	epithelial_like	hla_ii_apc	8719	0.04567854873166295	0.296020185801124
gse315138_celiac_marker	celiac disease	Healthy1	normal	control	epithelial_like	ifn_apc	8719	-0.06682528255228692	0.20575754100240853
gse315138_celiac_marker	celiac disease	Healthy1	normal	control	epithelial_like	lysosomal_apc	8719	-0.08768097099764262	0.18993003784837711
gse315138_celiac_marker	celiac disease	Healthy1	normal	control	epithelial_like	mif_cd74_receptor_state	8719	0.01928922240119607	0.27101731849982796
gse315138_celiac_marker	celiac disease	Healthy1	normal	control	myeloid_apc_like	hla_ii_apc	2250	0.19823702055487635	0.3253333333333333
gse315138_celiac_marker	celiac disease	Healthy1	normal	control	myeloid_apc_like	ifn_apc	2250	-0.0033824753043012537	0.228
gse315138_celiac_marker	celiac disease	Healthy1	normal	control	myeloid_apc_like	lysosomal_apc	2250	-0.055334494335075576	0.21466666666666667
gse315138_celiac_marker	celiac disease	Healthy1	normal	control	myeloid_apc_like	mif_cd74_receptor_state	2250	0.17416088586239262	0.32622222222222225
gse315138_celiac_marker	celiac disease	Healthy1	normal	control	stromal_endothelial_like	hla_ii_apc	103	0.02619072014476235	0.2815533980582524
gse315138_celiac_marker	celiac disease	Healthy1	normal	control	stromal_endothelial_like	ifn_apc	103	-0.18094192367459366	0.17475728155339806
gse315138_celiac_marker	celiac disease	Healthy1	normal	control	stromal_endothelial_like	lysosomal_apc	103	-0.18876252133972699	0.14563106796116504
gse315138_celiac_marker	celiac disease	Healthy1	normal	control	stromal_endothelial_like	mif_cd74_receptor_state	103	0.015732526679145296	0.2621359223300971
gse315138_celiac_marker	celiac disease	Healthy1	normal	control	t_cell_like	hla_ii_apc	4720	-0.025445538140142804	0.23135593220338982
gse315138_celiac_marker	celiac disease	Healthy1	normal	control	t_cell_like	ifn_apc	4720	-0.07503536733408533	0.17288135593220338
gse315138_celiac_marker	celiac disease	Healthy1	normal	control	t_cell_like	lysosomal_apc	4720	-0.05330416532308375	0.19724576271186442
gse315138_celiac_marker	celiac disease	Healthy1	normal	control	t_cell_like	mif_cd74_receptor_state	4720	-0.052839903250647614	0.20211864406779662
gse315138_celiac_marker	celiac disease	Healthy2	normal	control	b_plasma_like	hla_ii_apc	2567	-0.09020374171144181	0.2041293338527464
gse315138_celiac_marker	celiac disease	Healthy2	normal	control	b_plasma_like	ifn_apc	2567	0.0270841203602847	0.29762368523568367
gse315138_celiac_marker	celiac disease	Healthy2	normal	control	b_plasma_like	lysosomal_apc	2567	0.04171173412584383	0.27970393455395404
gse315138_celiac_marker	celiac disease	Healthy2	normal	control	b_plasma_like	mif_cd74_receptor_state	2567	-0.09470664857794851	0.21620568757304245
gse315138_celiac_marker	celiac disease	Healthy2	normal	control	epithelial_like	hla_ii_apc	4165	-0.09562335327523878	0.15366146458583432
gse315138_celiac_marker	celiac disease	Healthy2	normal	control	epithelial_like	ifn_apc	4165	0.13989187000561573	0.3426170468187275
gse315138_celiac_marker	celiac disease	Healthy2	normal	control	epithelial_like	lysosomal_apc	4165	0.1835511131160735	0.375750300120048
gse315138_celiac_marker	celiac disease	Healthy2	normal	control	epithelial_like	mif_cd74_receptor_state	4165	-0.04038000723073917	0.20600240096038416
gse315138_celiac_marker	celiac disease	Healthy2	normal	control	myeloid_apc_like	hla_ii_apc	1771	-0.2518539222182224	0.1541501976284585
gse315138_celiac_marker	celiac disease	Healthy2	normal	control	myeloid_apc_like	ifn_apc	1771	0.004297328873335829	0.27780914737436474
gse315138_celiac_marker	celiac disease	Healthy2	normal	control	myeloid_apc_like	lysosomal_apc	1771	0.07030074096776959	0.29474872953133824
gse315138_celiac_marker	celiac disease	Healthy2	normal	control	myeloid_apc_like	mif_cd74_receptor_state	1771	-0.22126594759479573	0.15302089215132694
gse315138_celiac_marker	celiac disease	Healthy2	normal	control	stromal_endothelial_like	hla_ii_apc	371	-0.007271278099489256	0.24258760107816713
gse315138_celiac_marker	celiac disease	Healthy2	normal	control	stromal_endothelial_like	ifn_apc	371	0.05023455023849906	0.2722371967654987
gse315138_celiac_marker	celiac disease	Healthy2	normal	control	stromal_endothelial_like	lysosomal_apc	371	0.052405767380032	0.2803234501347709
gse315138_celiac_marker	celiac disease	Healthy2	normal	control	stromal_endothelial_like	mif_cd74_receptor_state	371	-0.004367790425746497	0.24797843665768193
gse315138_celiac_marker	celiac disease	Healthy2	normal	control	t_cell_like	hla_ii_apc	1241	0.09677916198346022	0.32070910556003224
gse315138_celiac_marker	celiac disease	Healthy2	normal	control	t_cell_like	ifn_apc	1241	0.2853883431239991	0.5431103948428686
gse315138_celiac_marker	celiac disease	Healthy2	normal	control	t_cell_like	lysosomal_apc	1241	0.2027362291095531	0.45044319097502017
gse315138_celiac_marker	celiac disease	Healthy2	normal	control	t_cell_like	mif_cd74_receptor_state	1241	0.20097046200085145	0.43190975020145045
gse315138_celiac_marker	celiac disease	celiac1	celiac disease	case	b_plasma_like	hla_ii_apc	4502	0.01346976709747132	0.3003109729009329
gse315138_celiac_marker	celiac disease	celiac1	celiac disease	case	b_plasma_like	ifn_apc	4502	-0.05458373716408988	0.20390937361172812
gse315138_celiac_marker	celiac disease	celiac1	celiac disease	case	b_plasma_like	lysosomal_apc	4502	0.00013791164374958947	0.24677920924033764
gse315138_celiac_marker	celiac disease	celiac1	celiac disease	case	b_plasma_like	mif_cd74_receptor_state	4502	0.0120917683689964	0.29942247889826745
gse315138_celiac_marker	celiac disease	celiac1	celiac disease	case	epithelial_like	hla_ii_apc	7460	0.10541184042510315	0.34101876675603215
gse315138_celiac_marker	celiac disease	celiac1	celiac disease	case	epithelial_like	ifn_apc	7460	0.013667845873008719	0.23378016085790884
gse315138_celiac_marker	celiac disease	celiac1	celiac disease	case	epithelial_like	lysosomal_apc	7460	0.05548752330605132	0.2902144772117963
gse315138_celiac_marker	celiac disease	celiac1	celiac disease	case	epithelial_like	mif_cd74_receptor_state	7460	0.180106464876436	0.37359249329758715
gse315138_celiac_marker	celiac disease	celiac1	celiac disease	case	myeloid_apc_like	hla_ii_apc	1709	0.16388407850499662	0.3393797542422469
gse315138_celiac_marker	celiac disease	celiac1	celiac disease	case	myeloid_apc_like	ifn_apc	1709	0.02979039557942114	0.2814511410181393
gse315138_celiac_marker	celiac disease	celiac1	celiac disease	case	myeloid_apc_like	lysosomal_apc	1709	0.036255643677805	0.2761849034523113
gse315138_celiac_marker	celiac disease	celiac1	celiac disease	case	myeloid_apc_like	mif_cd74_receptor_state	1709	0.18318628593397832	0.35283791691047395
gse315138_celiac_marker	celiac disease	celiac1	celiac disease	case	stromal_endothelial_like	hla_ii_apc	165	-0.10026283455253301	0.18181818181818182
gse315138_celiac_marker	celiac disease	celiac1	celiac disease	case	stromal_endothelial_like	ifn_apc	165	-0.2237552081251768	0.1393939393939394
gse315138_celiac_marker	celiac disease	celiac1	celiac disease	case	stromal_endothelial_like	lysosomal_apc	165	-0.05770928250281672	0.21818181818181817
gse315138_celiac_marker	celiac disease	celiac1	celiac disease	case	stromal_endothelial_like	mif_cd74_receptor_state	165	-0.11947372364170998	0.17575757575757575
gse315138_celiac_marker	celiac disease	celiac1	celiac disease	case	t_cell_like	hla_ii_apc	1349	0.05353826178738392	0.3031875463306153
gse315138_celiac_marker	celiac disease	celiac1	celiac disease	case	t_cell_like	ifn_apc	1349	-0.0517468612734035	0.19718309859154928
gse315138_celiac_marker	celiac disease	celiac1	celiac disease	case	t_cell_like	lysosomal_apc	1349	0.02365761412724767	0.2853965900667161
gse315138_celiac_marker	celiac disease	celiac1	celiac disease	case	t_cell_like	mif_cd74_receptor_state	1349	0.1978339086844379	0.44848035581912526
gse315138_celiac_marker	celiac disease	celiac2	celiac disease	case	b_plasma_like	hla_ii_apc	6524	0.012836286350389222	0.33951563458001227
gse315138_celiac_marker	celiac disease	celiac2	celiac disease	case	b_plasma_like	ifn_apc	6524	-0.007144245995580153	0.24003678724708769
gse315138_celiac_marker	celiac disease	celiac2	celiac disease	case	b_plasma_like	lysosomal_apc	6524	-0.06515310592840079	0.19589209074187616
gse315138_celiac_marker	celiac disease	celiac2	celiac disease	case	b_plasma_like	mif_cd74_receptor_state	6524	-0.007180789144282771	0.30196198651134276
gse315138_celiac_marker	celiac disease	celiac2	celiac disease	case	epithelial_like	hla_ii_apc	8317	0.7345738471251105	0.689190813995431
gse315138_celiac_marker	celiac disease	celiac2	celiac disease	case	epithelial_like	ifn_apc	8317	0.5781890812821454	0.6612961404352531
gse315138_celiac_marker	celiac disease	celiac2	celiac disease	case	epithelial_like	lysosomal_apc	8317	0.05507619386229136	0.2564626668269809
gse315138_celiac_marker	celiac disease	celiac2	celiac disease	case	epithelial_like	mif_cd74_receptor_state	8317	0.6790809956114132	0.6888301070097391
gse315138_celiac_marker	celiac disease	celiac2	celiac disease	case	myeloid_apc_like	hla_ii_apc	2835	-0.11184915602259518	0.14779541446208114
gse315138_celiac_marker	celiac disease	celiac2	celiac disease	case	myeloid_apc_like	ifn_apc	2835	-0.01975326814748374	0.2
gse315138_celiac_marker	celiac disease	celiac2	celiac disease	case	myeloid_apc_like	lysosomal_apc	2835	-0.06238679414069152	0.18659611992945327
gse315138_celiac_marker	celiac disease	celiac2	celiac disease	case	myeloid_apc_like	mif_cd74_receptor_state	2835	-0.10736329897571571	0.145679012345679
gse315138_celiac_marker	celiac disease	celiac2	celiac disease	case	stromal_endothelial_like	hla_ii_apc	1457	-0.0013657489283925303	0.273850377487989
gse315138_celiac_marker	celiac disease	celiac2	celiac disease	case	stromal_endothelial_like	ifn_apc	1457	0.06256291634300376	0.3218943033630748
gse315138_celiac_marker	celiac disease	celiac2	celiac disease	case	stromal_endothelial_like	lysosomal_apc	1457	-0.1329507169339652	0.16060398078242966
gse315138_celiac_marker	celiac disease	celiac2	celiac disease	case	stromal_endothelial_like	mif_cd74_receptor_state	1457	-0.00019409546500902904	0.2800274536719286
gse315138_celiac_marker	celiac disease	celiac2	celiac disease	case	t_cell_like	hla_ii_apc	5506	0.30086348263896867	0.5577551761714493
