truth	pathology	pathology_severity	cohorts	primary_pass_rate	batch_risk_flag_rate	guarded_acceptable_pass_rate	mean_auc	mean_batch_auc	mean_batch_response_delta	mean_auc_attenuation
null	batch_response_correlated	0.0	30	0.0	0.1	0.0	0.49233333333333335	0.5427777777777778	0.08555555555555555	-0.050555555555555555
null	batch_response_correlated	0.25	30	0.0	0.8333333333333334	0.0	0.5105185185185185	0.6416666666666667	0.2833333333333333	-0.04596296296296296
null	batch_response_correlated	0.5	30	0.06666666666666667	1.0	0.0	0.5617407407407408	0.7266666666666667	0.4533333333333333	0.00018518518518518084
null	batch_response_correlated	0.75	30	0.2	1.0	0.0	0.6237407407407408	0.8727777777777778	0.7455555555555555	0.08003703703703705
null	batch_response_correlated	1.0	30	0.4	1.0	0.0	0.675074074074074	1.0	1.0	0.15807407407407406
null	gene_id_loss	0.0	30	0.0	0.13333333333333333	0.0	0.5001111111111112	0.5444444444444444	0.08888888888888888	-0.06707407407407406
null	gene_id_loss	0.25	30	0.03333333333333333	0.1	0.0	0.4975555555555556	0.5483333333333333	0.09666666666666665	-0.055111111111111104
null	gene_id_loss	0.5	30	0.0	0.16666666666666666	0.0	0.5088518518518519	0.5561111111111111	0.11222222222222221	-0.043222222222222224
null	gene_id_loss	1.0	30	0.0	0.06666666666666667	0.0	0.5012962962962962	0.5522222222222222	0.10444444444444442	-0.046111111111111124
null	label_swap	0.0	30	0.0	0.13333333333333333	0.0	0.5014074074074074	0.5483333333333333	0.09666666666666665	-0.06514814814814815
null	label_swap	0.05	30	0.0	0.13333333333333333	0.0	0.5074992743156511	0.560042171199503	0.12008434239900574	-0.06373719989562142
null	label_swap	0.1	30	0.0	0.06666666666666667	0.0	0.48649655845808976	0.5497393456837365	0.09947869136747302	-0.07950010794955048
null	label_swap	0.2	30	0.0	0.13333333333333333	0.0	0.5116800372294793	0.5467573037259228	0.09351460745184567	-0.04763863983968633
null	label_swap	0.3	30	0.0	0.16666666666666666	0.0	0.49974377106521534	0.5567136860355647	0.11342737207112928	-0.0558197385287346
null	missing_timepoints	0.0	30	0.0	0.1	0.0	0.5065925925925926	0.5466666666666666	0.09333333333333332	-0.04548148148148148
null	missing_timepoints	0.1	30	0.0	0.3	0.0	0.48341252303415416	0.5641400973302523	0.1282801946605045	-0.0834520321471675
null	missing_timepoints	0.25	30	0.0	0.3	0.0	0.5128608892752794	0.572505664392392	0.14501132878478415	-0.03795336294622262
null	missing_timepoints	0.4	30	0.03333333333333333	0.23333333333333334	0.0	0.5176312241917598	0.5623503989118473	0.12470079782369457	-0.07512886691106083
null	normalization_noise	0.0	30	0.0	0.06666666666666667	0.0	0.5256296296296296	0.5433333333333333	0.08666666666666666	-0.03362962962962965
null	normalization_noise	0.25	30	0.0	0.13333333333333333	0.0	0.5069259259259259	0.545	0.09	-0.04877777777777779
null	normalization_noise	0.5	30	0.0	0.16666666666666666	0.0	0.5168518518518518	0.5488888888888889	0.09777777777777777	-0.03466666666666667
null	normalization_noise	1.0	30	0.0	0.13333333333333333	0.0	0.4902592592592593	0.5488888888888889	0.09777777777777777	-0.06522222222222224
null	outlier_samples	0.0	30	0.0	0.2	0.0	0.4925185185185185	0.5611111111111111	0.1222222222222222	-0.07807407407407409
null	outlier_samples	0.05	30	0.0	0.26666666666666666	0.0	0.49692592592592594	0.56	0.11999999999999997	-0.061666666666666675
null	outlier_samples	0.1	30	0.0	0.16666666666666666	0.0	0.49314814814814817	0.55	0.09999999999999999	-0.0685925925925926
null	outlier_samples	0.2	30	0.0	0.16666666666666666	0.0	0.49144444444444446	0.5538888888888889	0.10777777777777776	-0.07207407407407408
null	receptor_artifact	0.0	30	0.0	0.13333333333333333	0.0	0.49662962962962964	0.5416666666666666	0.08333333333333331	-0.06929629629629631
null	receptor_artifact	0.25	30	0.0	0.1	0.0	0.4855555555555556	0.5411111111111111	0.08222222222222221	-0.07948148148148147
null	receptor_artifact	0.5	30	0.0	0.13333333333333333	0.0	0.5013703703703704	0.5555555555555556	0.1111111111111111	-0.06281481481481482
null	receptor_artifact	0.75	30	0.0	0.16666666666666666	0.0	0.49033333333333334	0.5561111111111111	0.11222222222222221	-0.07596296296296295
null	receptor_artifact	1.0	30	0.0	0.1	0.0	0.47855555555555557	0.55	0.09999999999999999	-0.08903703703703703
planted	batch_response_correlated	0.0	30	0.9	0.06666666666666667	0.8333333333333334	0.7606296296296297	0.5538888888888889	0.10777777777777776	0.002222222222222222
planted	batch_response_correlated	0.25	30	0.9666666666666667	0.6666666666666666	0.3	0.7966666666666666	0.6222222222222222	0.24444444444444444	0.028555555555555553
planted	batch_response_correlated	0.5	30	0.9666666666666667	1.0	0.0	0.8118518518518518	0.7561111111111111	0.5122222222222222	0.11144444444444444
planted	batch_response_correlated	0.75	30	1.0	1.0	0.0	0.8487037037037037	0.8872222222222222	0.7744444444444445	0.24355555555555555
planted	batch_response_correlated	1.0	30	1.0	1.0	0.0	0.8935185185185186	1.0	1.0	0.3791851851851852
planted	gene_id_loss	0.0	30	0.7666666666666667	0.13333333333333333	0.6666666666666666	0.7612592592592592	0.5455555555555556	0.0911111111111111	0.0010000000000000083
planted	gene_id_loss	0.25	30	0.8666666666666667	0.13333333333333333	0.7333333333333333	0.7606666666666667	0.55	0.09999999999999999	0.0021111111111111118
planted	gene_id_loss	0.5	30	0.7666666666666667	0.16666666666666666	0.6333333333333333	0.743037037037037	0.5527777777777777	0.10555555555555554	0.003629629629629627
planted	gene_id_loss	1.0	30	0.16666666666666666	0.13333333333333333	0.13333333333333333	0.6358518518518519	0.5594444444444445	0.11888888888888888	-0.0023703703703703617
planted	label_swap	0.0	30	0.8666666666666667	0.13333333333333333	0.7333333333333333	0.7715555555555557	0.5511111111111112	0.10222222222222221	0.0018148148148147988
planted	label_swap	0.05	30	0.7666666666666667	0.2	0.6333333333333333	0.7506244191866892	0.5548526344498136	0.109705268899627	0.0018116854809303842
planted	label_swap	0.1	30	0.4666666666666667	0.16666666666666666	0.4	0.6885751749137512	0.5543125982299274	0.10862519645985479	0.002693333211259125
planted	label_swap	0.2	30	0.2	0.06666666666666667	0.2	0.6562701183072409	0.5490107790618837	0.09802155812376724	0.0005078530001833522
