route	track	gene	expr_positive_disease_count	expr_negative_disease_count	expr_positive_diseases	ms_wm_delta_log2	ms_wm_p	ot_credible_disease_count_ge_0_5	ot_credible_disease_count_ge_0_8	ot_credible_max_score	ot_credible_diseases_ge_0_5	geneformer_support_contexts	geneformer_strong_support_contexts	real_perturbation_alignment_call	foundation_rescue_recommendation	chembl_target_id	chembl_pref_name	chembl_target_type	chembl_organism	chembl_activity_records_scanned	chembl_best_standard_value_nM	residual_retained_positive_disease_count	residual_non_ibd_retained_positive_disease_count	strict_core_covariate_surviving_disease_count	strict_core_covariate_surviving_analyses	direct_perturbation_sources	direct_selectivity_score	direct_evidence_calls	local_chembl_target_id	local_chembl_activity_records	local_chembl_best_nM
GPR65_pH_endolysosomal_gpcr	metabolite_barrier_and_genetics	GPR65	1.0	2.0	Sjogren syndrome	0.09040507812532	0.6241465917972195	5.0	2.0	0.904011845588684	AS;Crohn;MS;Psoriasis;UC	0.0	0.0	no_rescue	do_not_promote	CHEMBL3714081	Psychosine receptor	SINGLE PROTEIN	Homo sapiens	99	364.84										
AHR_tryptophan_barrier_tolerance	metabolite_barrier	AHR	2.0	0.0	Crohn disease;ulcerative colitis	0.4506701497294898	0.2713383380918425									CHEMBL3201	Aryl hydrocarbon receptor	SINGLE PROTEIN	Homo sapiens	100	0.4467										
AHR_tryptophan_barrier_tolerance	metabolite_barrier	CYP1A1	1.0	1.0	psoriasis											CHEMBL2231	Cytochrome P450 1A1	SINGLE PROTEIN	Homo sapiens	100	32.0										
AHR_tryptophan_barrier_tolerance	metabolite_barrier	CYP1B1	0.0	1.0		-0.6023845774338508	0.2965901394261897									CHEMBL4878	Cytochrome P450 1B1	SINGLE PROTEIN	Homo sapiens	100	1.77										
FXR_TGR5_bile_acid_axis	metabolite_barrier	NR1H4	1.0	2.0	type 1 diabetes mellitus											CHEMBL2047	Bile acid receptor	SINGLE PROTEIN	Homo sapiens	100	12.0										
FXR_TGR5_bile_acid_axis	metabolite_barrier	GPBAR1	1.0	0.0	type 1 diabetes mellitus	-0.4473677560319666	0.7006084739471476									CHEMBL5409	G-protein coupled bile acid receptor 1	SINGLE PROTEIN	Homo sapiens	100	31.62										
FXR_TGR5_bile_acid_axis	metabolite_barrier	SLC10A2	0.0	0.0												CHEMBL2778	Ileal sodium/bile acid cotransporter	SINGLE PROTEIN	Homo sapiens	100	0.3										
PPAR_LXR_cholesterol_efflux	metabolite_barrier	PPARA	0.0	0.0		-0.1159367355437837	0.6938446521810258									CHEMBL239	Peroxisome proliferator-activated receptor alpha	SINGLE PROTEIN	Homo sapiens	100	0.615										
PPAR_LXR_cholesterol_efflux	metabolite_barrier	PPARD	0.0	1.0		-0.3397741564339185	0.4029211146308484									CHEMBL3979	Peroxisome proliferator-activated receptor delta	SINGLE PROTEIN	Homo sapiens	100	93.0										
PPAR_LXR_cholesterol_efflux	metabolite_barrier	PPARG	1.0	2.0	ulcerative colitis	1.33861418076643	0.0023372069061631									CHEMBL235	Peroxisome proliferator-activated receptor gamma	SINGLE PROTEIN	Homo sapiens	100	0.4	0.0	0.0	0.0		Mixscale_CRISPRi	-0.0718142396098501	null_or_wrong_direction			
PPAR_LXR_cholesterol_efflux	metabolite_barrier	NR1H3	1.0	2.0	type 1 diabetes mellitus	0.9212173629129756	0.2094063049703438	0.0	0.0	0.0986519381403923						CHEMBL2808	Oxysterols receptor LXR-alpha	SINGLE PROTEIN	Homo sapiens	100	1.0	0.0	0.0	0.0							
PPAR_LXR_cholesterol_efflux	metabolite_barrier	NR1H2	1.0	0.0	type 1 diabetes mellitus	0.0646192467591699	0.8274524136837126									CHEMBL4093	Oxysterols receptor LXR-beta	SINGLE PROTEIN	Homo sapiens	100	1.0										
PPAR_LXR_cholesterol_efflux	metabolite_barrier	ABCA1	0.0	1.0		0.6056046515502906	0.0344909063382469	0.0	0.0	0.0						CHEMBL2362986	Phospholipid-transporting ATPase ABCA1	SINGLE PROTEIN	Homo sapiens	3	300.0										
PPAR_LXR_cholesterol_efflux	metabolite_barrier	ABCG1	0.0	3.0		0.8150581476256988	0.014073891674355													0											
SCFA_HCAR_FFAR_barrier_axis	metabolite_barrier	HCAR2	2.0	0.0	Crohn disease;ulcerative colitis	-0.0848985387310872	0.8285648340862942									CHEMBL3785	Hydroxycarboxylic acid receptor 2	SINGLE PROTEIN	Homo sapiens	100	8.71										
SCFA_HCAR_FFAR_barrier_axis	metabolite_barrier	FFAR2	3.0	0.0	Crohn disease;psoriasis;ulcerative colitis	-0.2826334061654503	0.7481241345994041									CHEMBL5493	Free fatty acid receptor 2	SINGLE PROTEIN	Homo sapiens	100	118.0										
SCFA_HCAR_FFAR_barrier_axis	metabolite_barrier	FFAR3	0.0	0.0		-0.2786921069092285	0.3986416528551088									CHEMBL5201	Free fatty acid receptor 3	SINGLE PROTEIN	Homo sapiens	100	128.82										
S1P_receptor_trafficking_axis	metabolite_barrier	S1PR1	0.0	1.0		-0.1773341765823053	0.8205649362071199									CHEMBL4333	Sphingosine 1-phosphate receptor 1	SINGLE PROTEIN	Homo sapiens	100	0.1										
S1P_receptor_trafficking_axis	metabolite_barrier	S1PR2	0.0	2.0		-0.1786743411631821	0.833677950213635									CHEMBL2955	Sphingosine 1-phosphate receptor 2	SINGLE PROTEIN	Homo sapiens	100	0.23										
S1P_receptor_trafficking_axis	metabolite_barrier	S1PR3	0.0	0.0		-0.3070594008594431	0.8302312978749058									CHEMBL3892	Sphingosine 1-phosphate receptor 3	SINGLE PROTEIN	Homo sapiens	100	0.04										
S1P_receptor_trafficking_axis	metabolite_barrier	S1PR4	1.0	0.0	Crohn disease	-0.2316346056971374	0.8535914831463017									CHEMBL3230	Sphingosine 1-phosphate receptor 4	SINGLE PROTEIN	Homo sapiens	100	0.6										
