gene	chembl_target_id	chembl_pref_name	chembl_target_type	chembl_organism	chembl_activity_records_scanned	chembl_best_standard_value_nM
ABCA1	CHEMBL2362986	Phospholipid-transporting ATPase ABCA1	SINGLE PROTEIN	Homo sapiens	3	300.0
ABCG1					0	
AHR	CHEMBL3201	Aryl hydrocarbon receptor	SINGLE PROTEIN	Homo sapiens	100	0.4467
ALOX5	CHEMBL215	Polyunsaturated fatty acid 5-lipoxygenase	SINGLE PROTEIN	Homo sapiens	100	25.0
APOE	CHEMBL4549	Apolipoprotein B-100	SINGLE PROTEIN	Homo sapiens	49	0.7
ATG16L1					0	
C1QA					0	
C1QB					0	
C1QC					0	
CARD9					0	
CD74	CHEMBL4692	HLA class II histocompatibility antigen gamma chain	SINGLE PROTEIN	Homo sapiens	25	410.0
CLEC16A					0	
CTSS	CHEMBL2954	Cathepsin S	SINGLE PROTEIN	Homo sapiens	100	0.1
CYP1A1	CHEMBL2231	Cytochrome P450 1A1	SINGLE PROTEIN	Homo sapiens	100	32.0
CYP1B1	CHEMBL4878	Cytochrome P450 1B1	SINGLE PROTEIN	Homo sapiens	100	1.77
CYSLTR1	CHEMBL1798	Cysteinyl leukotriene receptor 1	SINGLE PROTEIN	Homo sapiens	100	0.19
CYSLTR2	CHEMBL4330	Cysteinyl leukotriene receptor 2	SINGLE PROTEIN	Homo sapiens	100	0.31
FFAR2	CHEMBL5493	Free fatty acid receptor 2	SINGLE PROTEIN	Homo sapiens	100	118.0
FFAR3	CHEMBL5201	Free fatty acid receptor 3	SINGLE PROTEIN	Homo sapiens	100	128.82
GPBAR1	CHEMBL5409	G-protein coupled bile acid receptor 1	SINGLE PROTEIN	Homo sapiens	100	31.62
GPNMB	CHEMBL3712919	Transmembrane glycoprotein NMB	SINGLE PROTEIN	Homo sapiens	0	
GPR65	CHEMBL3714081	Psychosine receptor	SINGLE PROTEIN	Homo sapiens	99	364.84
HCAR2	CHEMBL3785	Hydroxycarboxylic acid receptor 2	SINGLE PROTEIN	Homo sapiens	100	8.71
IFI30					0	
IL10	CHEMBL3712920	Interleukin-10	SINGLE PROTEIN	Homo sapiens	0	
IL10RA	CHEMBL4804254	IL-10 receptor	PROTEIN COMPLEX	Homo sapiens	0	
IL10RB	CHEMBL4804251	IL22 Receptor	PROTEIN COMPLEX	Homo sapiens	0	
IRF5					0	
LIPA	CHEMBL4184	Lysosomal acid lipase/cholesteryl ester hydrolase	SINGLE PROTEIN	Homo sapiens	12	68.0
LTB4R	CHEMBL3911	Leukotriene B4 receptor 1	SINGLE PROTEIN	Homo sapiens	100	0.04
LTB4R2	CHEMBL3191	Leukotriene B4 receptor 2	SINGLE PROTEIN	Homo sapiens	100	1.2
NR1H2	CHEMBL4093	Oxysterols receptor LXR-beta	SINGLE PROTEIN	Homo sapiens	100	1.0
NR1H3	CHEMBL2808	Oxysterols receptor LXR-alpha	SINGLE PROTEIN	Homo sapiens	100	1.0
NR1H4	CHEMBL2047	Bile acid receptor	SINGLE PROTEIN	Homo sapiens	100	12.0
PPARA	CHEMBL239	Peroxisome proliferator-activated receptor alpha	SINGLE PROTEIN	Homo sapiens	100	0.615
PPARD	CHEMBL3979	Peroxisome proliferator-activated receptor delta	SINGLE PROTEIN	Homo sapiens	100	93.0
PPARG	CHEMBL235	Peroxisome proliferator-activated receptor gamma	SINGLE PROTEIN	Homo sapiens	100	0.4
PTGER2	CHEMBL1881	Prostaglandin E2 receptor EP2 subtype	SINGLE PROTEIN	Homo sapiens	100	0.74
PTGER4	CHEMBL1836	Prostaglandin E2 receptor EP4 subtype	SINGLE PROTEIN	Homo sapiens	100	0.8
PTGS2	CHEMBL230	Prostaglandin G/H synthase 2	SINGLE PROTEIN	Homo sapiens	100	0.08
PTPN2	CHEMBL3807	Tyrosine-protein phosphatase non-receptor type 2	SINGLE PROTEIN	Homo sapiens	100	3.0
RARA	CHEMBL2055	Retinoic acid receptor alpha	SINGLE PROTEIN	Homo sapiens	100	0.001
RARB	CHEMBL2008	Retinoic acid receptor beta	SINGLE PROTEIN	Homo sapiens	100	0.001
RARG	CHEMBL2003	Retinoic acid receptor gamma	SINGLE PROTEIN	Homo sapiens	100	0.001
RXRA	CHEMBL2061	Retinoic acid receptor RXR-alpha	SINGLE PROTEIN	Homo sapiens	100	0.8
RXRB	CHEMBL1870	Retinoic acid receptor RXR-beta	SINGLE PROTEIN	Homo sapiens	100	0.001
S1PR1	CHEMBL4333	Sphingosine 1-phosphate receptor 1	SINGLE PROTEIN	Homo sapiens	100	0.1
S1PR2	CHEMBL2955	Sphingosine 1-phosphate receptor 2	SINGLE PROTEIN	Homo sapiens	100	0.23
S1PR3	CHEMBL3892	Sphingosine 1-phosphate receptor 3	SINGLE PROTEIN	Homo sapiens	100	0.04
S1PR4	CHEMBL3230	Sphingosine 1-phosphate receptor 4	SINGLE PROTEIN	Homo sapiens	100	0.6
S1PR5	CHEMBL2274	Sphingosine 1-phosphate receptor 5	SINGLE PROTEIN	Homo sapiens	100	0.3
SH2B3					0	
SLC10A2	CHEMBL2778	Ileal sodium/bile acid cotransporter	SINGLE PROTEIN	Homo sapiens	100	0.3
SPP1	CHEMBL1741309	Osteopontin	SINGLE PROTEIN	Homo sapiens	0	
TNFAIP3	CHEMBL4523200	Tumor necrosis factor alpha-induced protein 3	SINGLE PROTEIN	Homo sapiens	0	
VDR	CHEMBL1977	Vitamin D3 receptor	SINGLE PROTEIN	Homo sapiens	100	0.065
