gene	n_sgrna	MHCII_mean_low_vs_high_log2	MHCII_median_low_vs_high_log2	MHCII_positive_sgrna_fraction	MHCII_one_sample_t	MHCII_p	CD40_mean_low_vs_high_log2	CD40_median_low_vs_high_log2	CD40_positive_sgrna_fraction	CD40_one_sample_t	CD40_p	PDL1_mean_low_vs_high_log2	PDL1_median_low_vs_high_log2	PDL1_positive_sgrna_fraction	PDL1_one_sample_t	PDL1_p	MHCII_rank_required_low_vs_high	MHCII_fdr	CD40_rank_required_low_vs_high	CD40_fdr	PDL1_rank_required_low_vs_high	PDL1_fdr
Ifngr2	4	5.813880099743623	5.857791586191182	1.0	7.829669756414637	0.004338177017520993	3.782197492793516	3.944372570114649	1.0	5.096837098734049	0.014602744221005864	6.512395738758613	6.822139605039087	1.0	8.384891762136773	0.003557753930026664	1.0	0.8893431347865502	3.0	0.889841996245348	2.0	0.8688130809597039
H2-Ab1	4	4.815368496730607	5.079772770778056	1.0	2.5233720866200473	0.08592206350166685	-1.053264795927395	-1.1337468811940377	0.25	-1.272226357437641	0.2929508983261133	-0.3804161461431716	-0.33633169842353405	0.0	-3.5252018529938685	0.038772312555502425	2.0	0.9248624482023996	10497.0	0.8998711791380146	7715.0	0.8688130809597039
Ifngr1	4	4.566414120633578	4.317502778834221	1.0	4.135265231600468	0.025664470078037044	3.1632529515522783	3.1582679085535483	1.0	6.094199466177785	0.008874572095792094	5.2556496723519786	4.7608298890196945	1.0	5.345453542296085	0.012803769404609054	8.0	0.9248624482023996	8.0	0.889841996245348	6.0	0.8688130809597039
H2-Aa	4	3.146571442050773	3.47977104565052	1.0	5.237816518953236	0.013544927025994	0.5561028312862335	0.40338361597938927	0.5	1.3986217536735146	0.2563782599880998	-0.8422960525790524	-0.7482279184413851	0.0	-4.089271004019375	0.02643209953525947	35.0	0.9248624482023996	2821.0	0.893094542799124	9729.0	0.8688130809597039
Jak1	4	3.5970802982077825	3.442325448383955	1.0	10.967653107786017	0.0016228655189025269	2.5951422011445042	2.0441825161065057	1.0	2.583643039114575	0.08152183271014683	4.0193765676265105	3.868760757267048	1.0	3.049467614147221	0.055451291038666584	37.0	0.6338917986535081	41.0	0.889841996245348	8.0	0.8688130809597039
Gsk3b	4	2.3746084201987827	3.3858043855877193	0.75	2.270229135173692	0.10790227644148144	-0.7684316432334128	-0.9632403186320063	0.25	-1.2426441477225054	0.30227677444390916	1.7774154795178403	1.1063126843460018	1.0	2.0995859779294617	0.12661510030374987	39.0	0.9248624482023996	10135.0	0.8998711791380146	539.0	0.8688130809597039
Med16	4	3.309273833093693	3.3493044260033162	1.0	9.438473657787926	0.002520506865107958	-0.484527061422708	-1.066602028435049	0.25	-0.6183471169214441	0.5801201062090169	2.7390307152162245	3.062717190221353	0.5	1.2148277671871988	0.3113255978237257	42.0	0.6858123330642583	10358.0	0.9275118014597307	19.0	0.8688130809597039
Stat1	4	3.175778799144253	3.3365236819178272	1.0	3.407669836035802	0.04222281642669471	1.0789595159061514	1.2586027292129867	0.75	1.3110358974748522	0.2811683926198604	6.46707816459223	7.035461487189096	1.0	7.526909694062145	0.004860604930804336	44.0	0.9248624482023996	295.0	0.8998711791380146	1.0	0.8688130809597039
Ciita	4	2.856261573174288	3.2204070244403322	0.75	2.4051953145074085	0.09542783964143671	-0.35548581656228934	-0.21281111172554426	0.25	-0.6501680701583002	0.5619332290497171	0.4950831646978076	-0.0402817569009457	0.5	0.7010452133678228	0.5337595007984789	53.0	0.9248624482023996	6828.0	0.926732238211222	5656.0	0.8870663647132596
Rfx5	4	2.1352211132195675	2.543181911929091	1.0	4.78712559317681	0.01733432233756988	0.4984559744581296	0.8131166794769786	0.75	1.1837891539827115	0.3217504008182466	0.4269654065873055	0.2783088871392949	0.5	0.7068433565143281	0.5306200557576781	153.0	0.9248624482023996	1031.0	0.8998711791380146	3213.0	0.8870663647132596
Jak2	4	1.620242298964941	1.6413311309210137	1.0	11.624418890367634	0.0013674330885106918	3.0983045373079716	3.2432866731294365	1.0	5.1001153957061	0.014576944776213973	5.946392726792453	6.7884219819163185	1.0	3.4153816413161913	0.04198471853824346	583.0	0.6338917986535081	5.0	0.889841996245348	3.0	0.8688130809597039
Cd74	4	1.6302982393546164	1.563545242623822	1.0	2.5984460181023454	0.08048384138908235	-0.16908105713450655	-0.1141353791709362	0.5	-0.6952352084817809	0.5369200672074383	-0.576640153743506	-0.869469299809249	0.25	-1.5625992891275302	0.21608372117249167	651.0	0.9248624482023996	6183.0	0.9211623892370244	10102.0	0.8688130809597039
