gene	contrast	timepoint	case	control	log2fc	note
B2M	D0_IFNy_8H_vs_D0_unstim	unstim	D0_IFNy_8H	D0_unstim	0.25186476872781327	single CPM column per condition; descriptive only
CD74	D0_IFNy_8H_vs_D0_unstim	unstim	D0_IFNy_8H	D0_unstim	0.00911044655412141	single CPM column per condition; descriptive only
CIITA	D0_IFNy_8H_vs_D0_unstim	unstim	D0_IFNy_8H	D0_unstim	-0.4601421677471702	single CPM column per condition; descriptive only
CTSB	D0_IFNy_8H_vs_D0_unstim	unstim	D0_IFNy_8H	D0_unstim	-0.5338707371390914	single CPM column per condition; descriptive only
CTSD	D0_IFNy_8H_vs_D0_unstim	unstim	D0_IFNy_8H	D0_unstim	-0.27643811320319855	single CPM column per condition; descriptive only
CTSL	D0_IFNy_8H_vs_D0_unstim	unstim	D0_IFNy_8H	D0_unstim	-0.48770801220790005	single CPM column per condition; descriptive only
CTSS	D0_IFNy_8H_vs_D0_unstim	unstim	D0_IFNy_8H	D0_unstim	0.2004444438512767	single CPM column per condition; descriptive only
CXCL10	D0_IFNy_8H_vs_D0_unstim	unstim	D0_IFNy_8H	D0_unstim	8.279793061430786	single CPM column per condition; descriptive only
CXCL9	D0_IFNy_8H_vs_D0_unstim	unstim	D0_IFNy_8H	D0_unstim	9.037971569171715	single CPM column per condition; descriptive only
GBP1	D0_IFNy_8H_vs_D0_unstim	unstim	D0_IFNy_8H	D0_unstim	4.402395611528778	single CPM column per condition; descriptive only
GBP2	D0_IFNy_8H_vs_D0_unstim	unstim	D0_IFNy_8H	D0_unstim	1.8551111923016173	single CPM column per condition; descriptive only
HLA-DMA	D0_IFNy_8H_vs_D0_unstim	unstim	D0_IFNy_8H	D0_unstim	-0.4681772749904365	single CPM column per condition; descriptive only
HLA-DMB	D0_IFNy_8H_vs_D0_unstim	unstim	D0_IFNy_8H	D0_unstim	-1.0137126832688814	single CPM column per condition; descriptive only
HLA-DPA1	D0_IFNy_8H_vs_D0_unstim	unstim	D0_IFNy_8H	D0_unstim	-0.0903994900877727	single CPM column per condition; descriptive only
HLA-DPB1	D0_IFNy_8H_vs_D0_unstim	unstim	D0_IFNy_8H	D0_unstim	-0.1386790827853286	single CPM column per condition; descriptive only
HLA-DRA	D0_IFNy_8H_vs_D0_unstim	unstim	D0_IFNy_8H	D0_unstim	0.11570316742524334	single CPM column per condition; descriptive only
HLA-DRB1	D0_IFNy_8H_vs_D0_unstim	unstim	D0_IFNy_8H	D0_unstim	0.061258444053960304	single CPM column per condition; descriptive only
IFI30	D0_IFNy_8H_vs_D0_unstim	unstim	D0_IFNy_8H	D0_unstim	0.5432165000993501	single CPM column per condition; descriptive only
IFIT1	D0_IFNy_8H_vs_D0_unstim	unstim	D0_IFNy_8H	D0_unstim	5.672004390926589	single CPM column per condition; descriptive only
IFIT2	D0_IFNy_8H_vs_D0_unstim	unstim	D0_IFNy_8H	D0_unstim	6.4264763996090695	single CPM column per condition; descriptive only
IRF1	D0_IFNy_8H_vs_D0_unstim	unstim	D0_IFNy_8H	D0_unstim	1.7856302476920103	single CPM column per condition; descriptive only
ISG15	D0_IFNy_8H_vs_D0_unstim	unstim	D0_IFNy_8H	D0_unstim	5.877833337075953	single CPM column per condition; descriptive only
LAMP1	D0_IFNy_8H_vs_D0_unstim	unstim	D0_IFNy_8H	D0_unstim	-0.15138858999335802	single CPM column per condition; descriptive only
LAMP2	D0_IFNy_8H_vs_D0_unstim	unstim	D0_IFNy_8H	D0_unstim	-0.07032690864897617	single CPM column per condition; descriptive only
