accession	description	url	filename	local_path	status	bytes	sha256	geo_record
GSE162463	murine macrophage IFN-gamma MHCII/CD40/PD-L1 CRISPR screen normalized sgRNA counts	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE162nnn/GSE162463/suppl/GSE162463_sgRNA_CountsNormalized.txt.gz	GSE162463_sgRNA_CountsNormalized.txt.gz	data/raw_v3/wave14_gsk3b_ciita/GSE162463_sgRNA_CountsNormalized.txt.gz	reused_existing	3575448	15440bdae7479121aceea530b8d617f16834dc5cd8a09b2f0ef868b825c64adb	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE162463
GSE162464	murine macrophage NTC/Gsk3b/Med16 +/- IFN-gamma normalized RNA-seq counts	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE162nnn/GSE162464/suppl/GSE162464_Normalized_Gene_Counts_Matrix.txt.gz	GSE162464_Normalized_Gene_Counts_Matrix.txt.gz	data/raw_v3/wave14_gsk3b_ciita/GSE162464_Normalized_Gene_Counts_Matrix.txt.gz	reused_existing	952652	cae8a77b3612307e8ca68a3c2fc53cdbae9ce3c6dd9817094d0ea55c5a37f3d4	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE162464
GSE294918	human macrophage IFN-gamma memory/ruxolitinib RNA-seq CPM	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE294nnn/GSE294918/suppl/GSE294918_IFNyRNAseq_CPM.csv.gz	GSE294918_IFNyRNAseq_CPM.csv.gz	data/raw_v3/wave14_gsk3b_ciita/GSE294918_IFNyRNAseq_CPM.csv.gz	reused_existing	1551763	adad09ae8edcb87f84f4275eef392a335064fa4cf6a2c5425284d195503c8b0b	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE294918
