gene	score	candidate_for_route	genetics_gate	same_gene_cellstate_gate	ms_expression_trend	perturbation_trend	reachable	hard_closed_or_prior_blocked	strong_l2g_disease_count	strong_l2g_diseases	strong_qtl_coloc_disease_count	strong_qtl_coloc_diseases	ms_max_l2g_score	ms_max_qtl_h4	c15_trend_positive_disease_count	c15_strict_positive_context_count	c15_myeloid_positive_context_count	positive_c15_contexts	best_c15_context	ms_delta_log2	ms_p	ms_fdr	w37_contrast_lfc	w37_contrast_fdr	chembl_target_id	druggable_activity_count	wave62_call	wave103_call	wave164_blockers	prior_text
SP140	7.5	False	True	True	False	True	True	True	3.0	Crohn;MS;Psoriasis	3.0	Crohn;MS;Psoriasis	0.8754889965057373	0.9868116204727	2.0	2.0	2.0	ibd_crohn_myeloid;ibd_uc_myeloid	ibd_crohn_myeloid	-0.0867628128456026	0.7262224269643743	0.9677805697088556	1.0553304433165922	0.920009505703422	CHEMBL3108643	0.0	PARK_TARGET_RESOLVED_BUT_BLOCKED_OR_NARROW			  PARK_TARGET_RESOLVED_BUT_BLOCKED_OR_NARROW   
STAT4	7.300000000000001	False	True	True	False	False	True	True	8.0	Celiac;Crohn;MS;PBC;RA;SLE;Sjogren;T1D	7.0	Celiac;Crohn;MS;PBC;RA;SLE;Sjogren	0.845672070980072	0.955404271318453	2.0	2.0	2.0	ibd_crohn_myeloid;ibd_uc_myeloid	ibd_uc_myeloid	0.8684079555977076	0.4607005214454064	0.9239963547089984	-0.0419731364238392	1.0	CHEMBL4523296	0.0	PARK_TARGET_RESOLVED_BUT_BLOCKED_OR_NARROW			STAT4_TF_not_selectively_druggable prior_branch_blocker_or_directionality_unresolved PARK_TARGET_RESOLVED_BUT_BLOCKED_OR_NARROW   
STARD5	6.9	False	False	True	True	True	False	False	0.0		0.0		0.0	0.0	3.0	4.0	2.0	ibd_crohn_myeloid;ibd_uc_myeloid;t1d_ductal_cell;t1d_stellate_cell;t1d_endothelial_cell	t1d_endothelial_cell	0.3405236664023316	0.2090343477941671	0.8993702893651148	0.4749259401880717	0.920009505703422		0.0				     
CCL5	6.7	False	False	True	True	True	False	False	0.0		0.0		0.0	0.0	3.0	3.0	2.0	ibd_crohn_myeloid;ibd_uc_myeloid;t1d_stellate_cell	ibd_uc_myeloid	0.8977913127137871	0.0742701356599357	0.8989378106274888	-0.6540166090680801	0.920009505703422		0.0				     
BUD13	6.5	False	False	True	True	True	False	False	0.0		0.0		0.0	0.0	3.0	2.0	2.0	ibd_crohn_myeloid;ibd_uc_myeloid;t1d_acinar_cell	t1d_acinar_cell	0.3572683459622823	0.1730613096774222	0.8993702893651148	-0.6746941790747477	0.920009505703422		0.0				     
PID1	6.5	False	False	True	True	True	False	False	0.0		0.0		0.0	0.0	3.0	2.0	2.0	ibd_crohn_myeloid;ibd_uc_myeloid;t1d_ductal_cell	ibd_crohn_myeloid	1.5344961439839755	0.0815135823349811	0.8989378106274888	-0.7175586039840817	0.920009505703422		0.0				     
RAB8B	6.5	False	False	True	True	True	False	False	0.0		0.0		0.0	0.0	3.0	2.0	2.0	ibd_crohn_myeloid;ibd_uc_myeloid;t1d_ductal_cell	ibd_crohn_myeloid	0.4665293389425429	0.1791205940165343	0.8993702893651148	0.3109344135985381	0.920009505703422		0.0				     
SLC41A2	6.5	False	False	True	True	True	False	False	0.0		0.0		0.0	0.0	3.0	2.0	2.0	ibd_crohn_myeloid;ibd_uc_myeloid;t1d_acinar_cell	ibd_crohn_myeloid	1.2294811462566448	0.1743218166638474	0.8993702893651148	0.5571886898266327	0.920009505703422		0.0				     
IL7R	6.300000000000001	False	True	True	False	False	False	True	4.0	Crohn;MS;PBC;T1D	4.0	Crohn;MS;PBC;T1D	0.9447864890098572	0.9844688660839735	3.0	3.0	2.0	ibd_crohn_myeloid;ibd_uc_myeloid;t1d_stellate_cell	ibd_uc_myeloid	-0.6536992297096775	0.5724603142052797	0.9431647247323408	-0.1553618289551992	1.0		0.0	PARK_TARGET_RESOLVED_BUT_BLOCKED_OR_NARROW			prior_art_CD127_autoimmune_axis  PARK_TARGET_RESOLVED_BUT_BLOCKED_OR_NARROW   
ADGRE5	6.3	False	False	True	True	True	False	False	0.0		0.0		0.0	0.0	2.0	2.0	2.0	ibd_crohn_myeloid;ibd_uc_myeloid	ibd_crohn_myeloid	0.571541161686909	0.1229559631916381	0.8989378106274888	-0.6113431833021592	0.920009505703422		0.0				     
