canonical_url	check	status	detail
https://www.mssociety.org.uk/about-ms/types-of-ms	present_in_review	PASS	/Users/soeren.leibach/Projects/ms-auto-research/knowledge_external/catalogs/indexes/source_url_duplicate_review_v48.tsv
https://www.mssociety.org.uk/about-ms/types-of-ms	field_matches.n_records	PASS	expected=2 observed=2
https://www.mssociety.org.uk/about-ms/types-of-ms	field_matches.record_ids	PASS	expected=resource.ms_society_uk.types_of_ms.2026-06-13;claim.ms_society_uk.ppms_course_context.2026-06-13 observed=resource.ms_society_uk.types_of_ms.2026-06-13;claim.ms_society_uk.ppms_course_context.2026-06-13
https://www.mssociety.org.uk/about-ms/types-of-ms	field_matches.record_paths	PASS	expected=knowledge_external/catalogs/resources/ms_society_uk_types_of_ms.json;knowledge_external/records/ms_disease_course_ppms_context.json observed=knowledge_external/catalogs/resources/ms_society_uk_types_of_ms.json;knowledge_external/records/ms_disease_course_ppms_context.json
https://www.nationalmssociety.org/understanding-ms/what-is-ms/types-of-ms	present_in_review	PASS	/Users/soeren.leibach/Projects/ms-auto-research/knowledge_external/catalogs/indexes/source_url_duplicate_review_v48.tsv
https://www.nationalmssociety.org/understanding-ms/what-is-ms/types-of-ms	field_matches.n_records	PASS	expected=2 observed=2
https://www.nationalmssociety.org/understanding-ms/what-is-ms/types-of-ms	field_matches.record_ids	PASS	expected=resource.national_ms_society.types_of_ms.2026-06-13;claim.national_ms_society.rrms_course_context.2026-06-13 observed=resource.national_ms_society.types_of_ms.2026-06-13;claim.national_ms_society.rrms_course_context.2026-06-13
https://www.nationalmssociety.org/understanding-ms/what-is-ms/types-of-ms	field_matches.record_paths	PASS	expected=knowledge_external/catalogs/resources/national_ms_society_types.json;knowledge_external/records/ms_disease_course_rrms_context.json observed=knowledge_external/catalogs/resources/national_ms_society_types.json;knowledge_external/records/ms_disease_course_rrms_context.json
https://www.nature.com/articles/s41467-021-25768-0	present_in_review	PASS	/Users/soeren.leibach/Projects/ms-auto-research/knowledge_external/catalogs/indexes/source_url_duplicate_review_v48.tsv
https://www.nature.com/articles/s41467-021-25768-0	field_matches.n_records	PASS	expected=2 observed=2
https://www.nature.com/articles/s41467-021-25768-0	field_matches.record_ids	PASS	expected=claim.ms_ibd.treatment_transfer_caution_context.2026-06-14;claim.nature.ms_uc_greater_genetic_correlation_context.2026-06-14 observed=claim.ms_ibd.treatment_transfer_caution_context.2026-06-14;claim.nature.ms_uc_greater_genetic_correlation_context.2026-06-14
https://www.nature.com/articles/s41467-021-25768-0	field_matches.record_paths	PASS	expected=knowledge_external/records/ms_ibd_treatment_transfer_caution_context.json;knowledge_external/records/ms_uc_greater_genetic_correlation_context.json observed=knowledge_external/records/ms_ibd_treatment_transfer_caution_context.json;knowledge_external/records/ms_uc_greater_genetic_correlation_context.json
summary	summary_duplicate_count_matches_rows	PASS	summary=3 rows=3
