analysis_window	n_requested	event_probability_before_censoring	effect_pattern	early_hazard_ratio_per_latent_sd	late_hazard_ratio_per_latent_sd	censoring_mechanism	dropout_target	n_simulated_cohorts	n_valid_fits	valid_fit_rate	significant_count	significant_probability	significant_probability_ci_low	significant_probability_ci_high	minimum_seed_significant_probability	maximum_seed_significant_probability	positive_call_probability	negative_call_probability	median_score_z_across_seeds	median_one_step_log_hr_across_seeds	median_usable_n_across_seeds	median_observed_events_across_seeds	median_assigned_dropout_across_seeds	median_observed_pre_event_dropout_across_seeds
whole_followup	320	0.3	late_only	1.0	2.2	score_dependent	0.25	1500	1500	1.0	652	0.43466666666666665	0.40977897399408836	0.45988813828668196	0.43	0.442	0.43466666666666665	0.0	1.792363115667031	0.23840468237774018	288.0	71.0	0.2491103202846975	0.1978798586572438
early_window_diagnostic	320	0.3	null	1.0	1.0	administrative_only	0.0	1500	1500	1.0	87	0.058	0.047261512311441406	0.07099660444519904	0.054	0.064	0.020666666666666667	0.037333333333333336	-0.015725710240982484	-0.0023241271618138102	288.0	47.0	0.0	0.0
late_landmark_diagnostic	320	0.3	null	1.0	1.0	administrative_only	0.0	1500	1500	1.0	75	0.05	0.040074440990789065	0.062224546657374286	0.04	0.06	0.028	0.022	0.028562305451802238	0.004757084630069223	241.0	39.0	0.0	0.0
whole_followup	320	0.3	null	1.0	1.0	administrative_only	0.0	1500	1500	1.0	86	0.05733333333333333	0.04666002962225208	0.07026815970868193	0.05	0.072	0.024666666666666667	0.03266666666666666	-0.006494153388720715	-0.0007599020290865147	288.0	86.0	0.0	0.0
early_window_diagnostic	320	0.3	null	1.0	1.0	event_risk_dependent	0.25	1500	1269	0.846	55	0.03666666666666667	0.028277917491892006	0.04742252164214284	0.03	0.042	0.02266666666666667	0.014	0.006764097045237386	0.0019279540776456195	288.0	14.0	0.2508591065292096	0.2508591065292096
late_landmark_diagnostic	320	0.3	null	1.0	1.0	event_risk_dependent	0.25	1500	1500	1.0	73	0.048666666666666664	0.03888362661591451	0.06075550618083598	0.044	0.056	0.02666666666666667	0.022	-0.006888032646405476	-0.0015066120579147026	217.0	24.0	0.07042253521126761	0.07042253521126761
whole_followup	320	0.3	null	1.0	1.0	event_risk_dependent	0.25	1500	1500	1.0	74	0.04933333333333333	0.03947876255528736	0.061490297667169555	0.034	0.06	0.024666666666666667	0.024666666666666667	0.01895606702180727	0.0033487450934575873	288.0	38.0	0.2508591065292096	0.2508591065292096
early_window_diagnostic	320	0.3	null	1.0	1.0	independent	0.25	1500	1500	1.0	71	0.04733333333333333	0.03769502441859292	0.059284253526744726	0.04	0.056	0.02666666666666667	0.020666666666666667	0.021215924690730942	0.003363228502037247	288.0	45.0	0.24872854787394627	0.20689655172413793
late_landmark_diagnostic	320	0.3	null	1.0	1.0	independent	0.25	1500	1500	1.0	69	0.046	0.03650872245690122	0.05781070063702358	0.034	0.06	0.018666666666666668	0.027333333333333334	0.06802387591461054	0.013954273657988047	213.0	32.0	0.14814814814814814	0.13688937710002586
whole_followup	320	0.3	null	1.0	1.0	independent	0.25	1500	1500	1.0	73	0.048666666666666664	0.03888362661591451	0.06075550618083598	0.038	0.058	0.02	0.028666666666666667	0.07083121014106925	0.009470540152186208	288.0	77.0	0.24872854787394627	0.20689655172413793
early_window_diagnostic	320	0.3	null	1.0	1.0	score_dependent	0.25	1500	1500	1.0	75	0.05	0.040074440990789065	0.062224546657374286	0.032	0.072	0.017333333333333333	0.03266666666666666	-0.03446886336862899	-0.005385805907400128	288.0	45.0	0.24957912457912457	0.20354010025062658
late_landmark_diagnostic	320	0.3	null	1.0	1.0	score_dependent	0.25	1500	1500	1.0	87	0.058	0.047261512311441406	0.07099660444519904	0.048	0.064	0.028	0.03	0.022136872270179058	0.0046027773614768265	212.5	31.0	0.14798206278026907	0.13333333333333333
whole_followup	320	0.3	null	1.0	1.0	score_dependent	0.25	1500	1500	1.0	86	0.05733333333333333	0.04666002962225208	0.07026815970868193	0.044	0.072	0.024666666666666667	0.03266666666666666	-0.050079121604123325	-0.006054694467558829	288.0	77.0	0.24957912457912457	0.20354010025062658
early_window_diagnostic	320	0.3	proportional	1.7	1.7	administrative_only	0.0	1500	1500	1.0	1079	0.7193333333333334	0.696056651115549	0.7414894719418648	0.708	0.728	0.7193333333333334	0.0	2.578442583273153	0.4058040095636208	288.0	49.0	0.0	0.0
late_landmark_diagnostic	320	0.3	proportional	1.7	1.7	administrative_only	0.0	1500	1500	1.0	891	0.594	0.568938634830387	0.6185811321942188	0.59	0.596	0.594	0.0	2.1930073087675828	0.3950075082616131	239.0	37.0	0.0	0.0
whole_followup	320	0.3	proportional	1.7	1.7	administrative_only	0.0	1500	1500	1.0	1372	0.9146666666666666	0.8994476527415375	0.9277672060478587	0.906	0.926	0.9146666666666666	0.0	3.3810177701484747	0.4039708364912489	288.0	87.0	0.0	0.0
early_window_diagnostic	320	0.3	proportional	1.7	1.7	event_risk_dependent	0.25	1500	1375	0.9166666666666666	455	0.30333333333333334	0.28059650607108916	0.32707490334551553	0.28	0.334	0.302	0.0013333333333333333	1.5059225531709497	0.4143532842751023	288.0	15.0	0.24912887755721483	0.24912887755721483
late_landmark_diagnostic	320	0.3	proportional	1.7	1.7	event_risk_dependent	0.25	1500	1499	0.9993333333333333	658	0.43866666666666665	0.41374300697302724	0.4639036698619816	0.414	0.454	0.43866666666666665	0.0	1.7976984447048128	0.4130758353455418	216.0	23.0	0.06976744186046512	0.06976744186046512
whole_followup	320	0.3	proportional	1.7	1.7	event_risk_dependent	0.25	1500	1500	1.0	952	0.6346666666666667	0.6099833781245948	0.658661961868103	0.612	0.65	0.6346666666666667	0.0	2.270096962998518	0.42054185589604387	288.0	38.0	0.24912887755721483	0.24912887755721483
early_window_diagnostic	320	0.3	proportional	1.7	1.7	independent	0.25	1500	1500	1.0	1000	0.6666666666666666	0.6424116914571223	0.6900701649694838	0.66	0.674	0.6666666666666666	0.0	2.4074303473615104	0.3937338470092321	288.0	47.0	0.2504180602006689	0.20774647887323944
late_landmark_diagnostic	320	0.3	proportional	1.7	1.7	independent	0.25	1500	1500	1.0	733	0.4886666666666667	0.4634314047282225	0.5139598290347684	0.466	0.508	0.4886666666666667	0.0	1.9410458729572706	0.38996168928291536	210.0	31.0	0.1497584541062802	0.13743479042993345
whole_followup	320	0.3	proportional	1.7	1.7	independent	0.25	1500	1500	1.0	1307	0.8713333333333333	0.853435424067176	0.8873341520513025	0.864	0.882	0.8713333333333333	0.0	3.121916893746311	0.39399731627738777	288.0	78.0	0.2504180602006689	0.20774647887323944
early_window_diagnostic	320	0.3	proportional	1.7	1.7	score_dependent	0.25	1500	1500	1.0	997	0.6646666666666666	0.6403813992921241	0.6881106748573627	0.652	0.676	0.6646666666666666	0.0	2.425857619886223	0.3992296847968998	288.0	45.0	0.25	0.1848002481981767
late_landmark_diagnostic	320	0.3	proportional	1.7	1.7	score_dependent	0.25	1500	1500	1.0	630	0.42	0.3952583911733363	0.44515031774189273	0.402	0.456	0.42	0.0	1.6960848674223883	0.36185453557476294	213.0	28.0	0.13004484304932734	0.11422048271363339
whole_followup	320	0.3	proportional	1.7	1.7	score_dependent	0.25	1500	1500	1.0	1265	0.8433333333333334	0.8240642967466191	0.8608483274921898	0.822	0.876	0.8433333333333334	0.0	2.9748651070264915	0.39760725029572186	288.0	73.0	0.25	0.1848002481981767
