seed	analysis_window	n_requested	event_probability_before_censoring	effect_pattern	early_hazard_ratio_per_latent_sd	late_hazard_ratio_per_latent_sd	censoring_mechanism	dropout_target	n_simulated_cohorts	n_valid_fits	valid_fit_rate	significant_count	significant_probability	significant_probability_ci_low	significant_probability_ci_high	positive_call_probability	negative_call_probability	median_score_z	median_one_step_log_hr	median_usable_n	median_observed_events	median_assigned_dropout	median_observed_pre_event_dropout
54901	early_window_diagnostic	120	0.15	proportional	1.7	1.7	joint_score_event_risk	0.25	500	0	0.0	0	0.0	4.336808689942018e-19	0.007624340461552241	0.0	0.0			108.0	2.5	0.24770642201834864	0.24770642201834864
54901	late_landmark_diagnostic	120	0.15	proportional	1.7	1.7	joint_score_event_risk	0.25	500	2	0.004	0	0.0	4.336808689942018e-19	0.007624340461552241	0.0	0.0	-0.5767769751779505	-0.21696976567489223	88.0	3.0	0.10638297872340426	0.10638297872340426
54901	whole_followup	120	0.15	early_only	2.2	1.0	administrative_only	0.0	500	490	0.98	127	0.254	0.21782025491518664	0.2939309205918972	0.254	0.0	1.324230028474802	0.36305089634185056	108.0	16.0	0.0	0.0
54901	early_window_diagnostic	120	0.15	early_only	2.2	1.0	administrative_only	0.0	500	266	0.532	119	0.238	0.2027590191807921	0.2772361352210613	0.238	0.0	1.885759118102921	0.6014128437317726	108.0	10.0	0.0	0.0
54901	late_landmark_diagnostic	120	0.15	early_only	2.2	1.0	administrative_only	0.0	500	54	0.108	2	0.004	0.0010976305226827934	0.014465715215177033	0.004	0.0	-0.15210343451187108	-0.05358113289837616	98.0	6.0	0.0	0.0
54901	whole_followup	120	0.15	early_only	2.2	1.0	independent	0.25	500	465	0.93	126	0.252	0.21593384838137186	0.2918478244875581	0.25	0.002	1.323711988288857	0.3951337879923496	108.0	14.0	0.24545454545454545	0.22595264520902703
54901	early_window_diagnostic	120	0.15	early_only	2.2	1.0	independent	0.25	500	243	0.486	99	0.198	0.1654311225691935	0.2351739790695841	0.198	0.0	1.6991505715814854	0.5642466841393574	108.0	9.0	0.24545454545454545	0.22595264520902703
54901	late_landmark_diagnostic	120	0.15	early_only	2.2	1.0	independent	0.25	500	10	0.02	0	0.0	4.336808689942018e-19	0.007624340461552241	0.0	0.0	0.015889139873380517	0.005385870728413223	87.0	5.0	0.14793771043771042	0.14451137884872822
54901	whole_followup	120	0.15	early_only	2.2	1.0	score_dependent	0.25	500	462	0.924	96	0.192	0.15987621859588308	0.22882037512843312	0.19	0.002	1.235312744805726	0.3759838959254235	108.0	14.0	0.25	0.21568627450980393
54901	early_window_diagnostic	120	0.15	early_only	2.2	1.0	score_dependent	0.25	500	195	0.39	74	0.148	0.1195614053892054	0.18180613029572734	0.148	0.0	1.6875279100640757	0.5568519814665067	108.0	9.0	0.25	0.21568627450980393
54901	late_landmark_diagnostic	120	0.15	early_only	2.2	1.0	score_dependent	0.25	500	13	0.026	0	0.0	4.336808689942018e-19	0.007624340461552241	0.0	0.0	0.43656825867092935	0.13120032625331274	87.0	5.0	0.1348314606741573	0.12941176470588237
54901	whole_followup	120	0.15	early_only	2.2	1.0	event_risk_dependent	0.25	500	11	0.022	4	0.008	0.00311531518006224	0.020387035834105168	0.006	0.002	1.0172093369458375	0.3646818201999023	108.0	4.0	0.25	0.25
54901	early_window_diagnostic	120	0.15	early_only	2.2	1.0	event_risk_dependent	0.25	500	0	0.0	0	0.0	4.336808689942018e-19	0.007624340461552241	0.0	0.0			108.0	1.0	0.25	0.25
54901	late_landmark_diagnostic	120	0.15	early_only	2.2	1.0	event_risk_dependent	0.25	500	0	0.0	0	0.0	4.336808689942018e-19	0.007624340461552241	0.0	0.0			88.0	3.0	0.09143155694879833	0.09143155694879833
54901	whole_followup	120	0.15	early_only	2.2	1.0	joint_score_event_risk	0.25	500	36	0.072	6	0.012	0.005510995174027703	0.025930361116447292	0.0	0.012	-0.9321532844893972	-0.3289500771205581	108.0	6.0	0.25225225225225223	0.25225225225225223
54901	early_window_diagnostic	120	0.15	early_only	2.2	1.0	joint_score_event_risk	0.25	500	0	0.0	0	0.0	4.336808689942018e-19	0.007624340461552241	0.0	0.0			108.0	2.0	0.25225225225225223	0.25225225225225223
54901	late_landmark_diagnostic	120	0.15	early_only	2.2	1.0	joint_score_event_risk	0.25	500	1	0.002	0	0.0	4.336808689942018e-19	0.007624340461552241	0.0	0.0	0.2205598788818925	0.06981747053792646	88.0	3.5	0.10241841491841491	0.10241841491841491
54901	whole_followup	120	0.15	late_only	1.0	2.2	administrative_only	0.0	500	492	0.984	116	0.232	0.19712923845271468	0.2709574080346774	0.23	0.002	1.3116204069468453	0.3542117844078701	108.0	16.0	0.0	0.0
54901	early_window_diagnostic	120	0.15	late_only	1.0	2.2	administrative_only	0.0	500	86	0.172	4	0.008	0.00311531518006224	0.020387035834105168	0.004	0.004	-0.010212048269987542	-0.003737369472673101	108.0	7.0	0.0	0.0
54901	late_landmark_diagnostic	120	0.15	late_only	1.0	2.2	administrative_only	0.0	500	223	0.446	103	0.206	0.17285664127336728	0.24362647091802545	0.206	0.0	1.844001156631449	0.6004720704312776	101.0	9.0	0.0	0.0
54901	whole_followup	120	0.15	late_only	1.0	2.2	independent	0.25	500	470	0.94	87	0.174	0.14328947208106416	0.20968159789986787	0.17	0.004	0.987408100086836	0.2726445883963323	108.0	14.0	0.25225225225225223	0.22972314687017942
