module	n_genes	present	missing
ifn_apc	7	STAT1,IRF1,CXCL10,GBP1,ISG15,CD74,HLA-DRA	
mif_cd74_receptor_state	6	MIF,CD74,CD44,CXCR4,HLA-DRA,HLA-DRB1	
hla_ii_only	7	CD74,HLA-DRA,HLA-DRB1,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1	
lysosomal_apc	8	CTSS,CTSB,LAMP1,LAMP2,IFI30,TYROBP,TREM2,APOE	
monocyte_cd64	8	FCGR1A,FCGR1B,JAK2,STAT1,IL8,CXCL2,CD38,PTX3	
hif_nampt_metabolic	6	NAMPT,HIF1A,SLC2A1,LDHA,VEGFA,NFKB1	
regulatory_pregnancy	6	FOXP3,IL10,TGFB1,IL2RA,CTLA4,IKZF2	
