module	term	coef	se	p	n	r2
hif_nampt_metabolic	C(tp, Treatment(reference='1'))[T.2]	0.13198624990427354	0.09247495753003396	0.15350358843625564	323	0.17960074018694983
hif_nampt_metabolic	C(tp, Treatment(reference='1'))[T.3]	0.23769685114876232	0.0771016383105471	0.002049921478371894	323	0.17960074018694983
hif_nampt_metabolic	C(tp, Treatment(reference='1'))[T.4]	0.16584217329243817	0.14548929360829455	0.2543310365527246	323	0.17960074018694983
hif_nampt_metabolic	C(tp, Treatment(reference='1'))[T.5]	-0.2829568522303755	0.12251296751946103	0.02090990142531242	323	0.17960074018694983
hla_ii_only	C(tp, Treatment(reference='1'))[T.2]	-0.2525394119955121	0.08657049388448582	0.0035324197953803854	323	0.09727330558024538
hla_ii_only	C(tp, Treatment(reference='1'))[T.3]	-0.2179137030005908	0.08191032633585442	0.007804939704823898	323	0.09727330558024538
hla_ii_only	C(tp, Treatment(reference='1'))[T.4]	-0.21528102076825514	0.11635876953604435	0.06429212716010967	323	0.09727330558024538
hla_ii_only	C(tp, Treatment(reference='1'))[T.5]	-0.0010288175436078267	0.122082413954413	0.9932761165903039	323	0.09727330558024538
ifn_apc	C(tp, Treatment(reference='1'))[T.2]	-0.06401726476149773	0.08269925485133071	0.4388732907276337	323	0.0648321148278811
ifn_apc	C(tp, Treatment(reference='1'))[T.3]	-0.06150836630386898	0.07226219487346981	0.39466759339706525	323	0.0648321148278811
ifn_apc	C(tp, Treatment(reference='1'))[T.4]	-0.191880061315572	0.10837385388231165	0.07663750646291219	323	0.0648321148278811
ifn_apc	C(tp, Treatment(reference='1'))[T.5]	-0.19160763217542656	0.12743139796103878	0.13268078796675684	323	0.0648321148278811
lysosomal_apc	C(tp, Treatment(reference='1'))[T.2]	0.02257506390555688	0.06942983626553825	0.7450680647058453	323	0.16424066207012
lysosomal_apc	C(tp, Treatment(reference='1'))[T.3]	0.0381557553721658	0.06772749944523784	0.5731818150353135	323	0.16424066207012
lysosomal_apc	C(tp, Treatment(reference='1'))[T.4]	-0.167161151440878	0.09983263812340738	0.09404929371348927	323	0.16424066207012
lysosomal_apc	C(tp, Treatment(reference='1'))[T.5]	-0.22224826805961873	0.0813346759675079	0.00628527015907766	323	0.16424066207012
mif_cd74_receptor_state	C(tp, Treatment(reference='1'))[T.2]	-0.12920388997710588	0.09328647565472319	0.16604551459385608	323	0.15263178661283638
mif_cd74_receptor_state	C(tp, Treatment(reference='1'))[T.3]	-0.10724945017891682	0.09200842848746586	0.2437567504832695	323	0.15263178661283638
mif_cd74_receptor_state	C(tp, Treatment(reference='1'))[T.4]	-0.14965808820565363	0.12121941239225897	0.2169775608599931	323	0.15263178661283638
mif_cd74_receptor_state	C(tp, Treatment(reference='1'))[T.5]	0.029974799610341468	0.11812194775832455	0.7996798384039162	323	0.15263178661283638
monocyte_cd64	C(tp, Treatment(reference='1'))[T.2]	0.17262044545607186	0.07393639050612882	0.01955828196937804	323	0.16777878989092543
monocyte_cd64	C(tp, Treatment(reference='1'))[T.3]	0.1638276380412929	0.07269318970794976	0.0242159165106176	323	0.16777878989092543
monocyte_cd64	C(tp, Treatment(reference='1'))[T.4]	0.13285395452735427	0.08568058810042488	0.12100419230624743	323	0.16777878989092543
monocyte_cd64	C(tp, Treatment(reference='1'))[T.5]	-0.3405486210408716	0.10191216329368287	0.0008330013758806846	323	0.16777878989092543
regulatory_pregnancy	C(tp, Treatment(reference='1'))[T.2]	-0.13103391760665895	0.05987425061497803	0.028634270537064632	323	0.1115782838257593
regulatory_pregnancy	C(tp, Treatment(reference='1'))[T.3]	-0.1610645066579724	0.06033807231783681	0.0075994185098128865	323	0.1115782838257593
regulatory_pregnancy	C(tp, Treatment(reference='1'))[T.4]	-0.10079358392550206	0.06052231933310825	0.0958339238595533	323	0.1115782838257593
regulatory_pregnancy	C(tp, Treatment(reference='1'))[T.5]	0.19464351526000512	0.0838154125900407	0.020217440717567318	323	0.1115782838257593
