sle	tp	tp_label	complication_any	module	n	mean	sd
0	1	<16 weeks	0	hif_nampt_metabolic	38	-0.05633810705836076	0.5041936636807804
0	1	<16 weeks	0	hla_ii_only	38	0.29072249457821386	0.4004806202335313
0	1	<16 weeks	0	ifn_apc	38	-0.27158241903705915	0.5715771495518797
0	1	<16 weeks	0	lysosomal_apc	38	0.22576476578709861	0.387061551883543
0	1	<16 weeks	0	mif_cd74_receptor_state	38	0.20900594380152224	0.3797397237177273
0	1	<16 weeks	0	monocyte_cd64	38	-0.2893575223962982	0.42545652092729225
0	1	<16 weeks	0	regulatory_pregnancy	38	0.012124965643075114	0.29824870634229406
0	2	16-23 weeks	0	hif_nampt_metabolic	37	-0.013370065009347362	0.5459125327483019
0	2	16-23 weeks	0	hla_ii_only	37	0.006648538962061082	0.5351679126192037
0	2	16-23 weeks	0	ifn_apc	37	-0.48290621545446644	0.5565389794413421
0	2	16-23 weeks	0	lysosomal_apc	37	-0.014596143450880042	0.3829648109703759
0	2	16-23 weeks	0	mif_cd74_receptor_state	37	-0.05285704276901533	0.5686384335210547
0	2	16-23 weeks	0	monocyte_cd64	37	-0.21023423546543535	0.4527736769075001
0	2	16-23 weeks	0	regulatory_pregnancy	37	-0.04238562388351343	0.39913946453321747
0	3	24-31 weeks	0	hif_nampt_metabolic	37	0.11270801114884979	0.4592962590687541
0	3	24-31 weeks	0	hla_ii_only	37	0.0927920741517677	0.4516449960545785
0	3	24-31 weeks	0	ifn_apc	37	-0.39015498874030097	0.4742171374193212
0	3	24-31 weeks	0	lysosomal_apc	37	-0.004780950545766347	0.3507591681240135
0	3	24-31 weeks	0	mif_cd74_receptor_state	37	0.030554470212098117	0.4345741827688525
0	3	24-31 weeks	0	monocyte_cd64	37	-0.10875212906583492	0.372433274857143
0	3	24-31 weeks	0	regulatory_pregnancy	37	-0.07895666071779739	0.34183925610318305
0	4	32-40 weeks	0	hif_nampt_metabolic	35	0.06701520141230725	0.5473764318673426
0	4	32-40 weeks	0	hla_ii_only	35	0.2838996190238129	0.4860272659320288
0	4	32-40 weeks	0	ifn_apc	35	-0.15268767788945947	0.4675347581501094
0	4	32-40 weeks	0	lysosomal_apc	35	0.08695826632746893	0.49214813085419745
