sle	complication_any	module	contrast	n_a	n_b	delta	hedges_g	welch_p
0	0	hif_nampt_metabolic	32-40 weeks - <16 weeks	35	38	0.12335330847066801	0.23232818079377854	0.3213401100762455
0	0	hif_nampt_metabolic	8-20 weeks postpartum - 32-40 weeks	40	35	-0.2188811625418074	-0.39684329031903887	0.0876142093194038
0	0	hif_nampt_metabolic	8-20 weeks postpartum - <16 weeks	40	38	-0.09552785407113937	-0.18005626648599934	0.42367767802901096
0	0	hla_ii_only	32-40 weeks - <16 weeks	35	38	-0.006822875554401031	-0.01522072399725748	0.9482569479649686
0	0	hla_ii_only	8-20 weeks postpartum - 32-40 weeks	40	35	0.21439526629983513	0.4755957784854112	0.044083650552620396
0	0	hla_ii_only	8-20 weeks postpartum - <16 weeks	40	38	0.2075723907454341	0.5081203509718316	0.02626134890932753
0	0	ifn_apc	32-40 weeks - <16 weeks	35	38	0.11889474114759965	0.22434905611439032	0.3324723038668887
0	0	ifn_apc	8-20 weeks postpartum - 32-40 weeks	40	35	-0.1568755723532448	-0.34007348909433777	0.14330673326133944
0	0	ifn_apc	8-20 weeks postpartum - <16 weeks	40	38	-0.03798083120564516	-0.07354199256123412	0.745516300937052
0	0	lysosomal_apc	32-40 weeks - <16 weeks	35	38	-0.13880649945962964	-0.31175396799535166	0.18761162900112446
0	0	lysosomal_apc	8-20 weeks postpartum - 32-40 weeks	40	35	-0.48599192404232067	-0.9757416697220563	6.1007691986468025e-05
0	0	lysosomal_apc	8-20 weeks postpartum - <16 weeks	40	38	-0.6247984235019504	-1.3903057271861285	2.5641892866692272e-08
0	0	mif_cd74_receptor_state	32-40 weeks - <16 weeks	35	38	-0.04675302855995048	-0.11745422564128671	0.6150424760418538
0	0	mif_cd74_receptor_state	8-20 weeks postpartum - 32-40 weeks	40	35	0.26628273514983275	0.6486481503418648	0.006045434594061907
0	0	mif_cd74_receptor_state	8-20 weeks postpartum - <16 weeks	40	38	0.21952970658988227	0.553766156528693	0.01563171261021285
0	0	monocyte_cd64	32-40 weeks - <16 weeks	35	38	0.3377318260948013	0.8154986683088516	0.0007335660026835653
0	0	monocyte_cd64	8-20 weeks postpartum - 32-40 weeks	40	35	-0.6163937631033535	-1.4378258410926248	1.728710352767314e-08
0	0	monocyte_cd64	8-20 weeks postpartum - <16 weeks	40	38	-0.2786619370085522	-0.6291577720476902	0.0063084982786942275
0	0	regulatory_pregnancy	32-40 weeks - <16 weeks	35	38	-0.09574307939139556	-0.2787325969694159	0.23816188404597904
0	0	regulatory_pregnancy	8-20 weeks postpartum - 32-40 weeks	40	35	0.3672525366540321	0.9260223108447677	0.00012304673192581114
0	0	regulatory_pregnancy	8-20 weeks postpartum - <16 weeks	40	38	0.27150945726263653	0.7552610808962347	0.0011280919645484143
1	0	hif_nampt_metabolic	32-40 weeks - <16 weeks	42	45	0.22324094697179417	0.24298589227386588	0.26217150799272476
1	0	hif_nampt_metabolic	8-20 weeks postpartum - 32-40 weeks	25	42	-0.5336184309537058	-0.573065374920533	0.011808510580964778
1	0	hif_nampt_metabolic	8-20 weeks postpartum - <16 weeks	25	45	-0.3103774839819116	-0.42993463087712536	0.07202457810509957
1	0	hla_ii_only	32-40 weeks - <16 weeks	42	45	-0.3311109599227874	-0.4368692927140361	0.045062977892956976
1	0	hla_ii_only	8-20 weeks postpartum - 32-40 weeks	25	42	0.45249907969308445	0.5969596448077331	0.010299858620469296
1	0	hla_ii_only	8-20 weeks postpartum - <16 weeks	25	45	0.12138811977029709	0.19259972696612015	0.41673370642827146
1	0	ifn_apc	32-40 weeks - <16 weeks	42	45	-0.2290622870722795	-0.3202040840292657	0.13576994445321447
1	0	ifn_apc	8-20 weeks postpartum - 32-40 weeks	25	42	0.18358234023203054	0.2719986310136859	0.2593007615533871
1	0	ifn_apc	8-20 weeks postpartum - <16 weeks	25	45	-0.04547994684024895	-0.06695307671439842	0.7759717888783623
1	0	lysosomal_apc	32-40 weeks - <16 weeks	42	45	-0.15617286262583222	-0.2402260298886946	0.26335478431756076
1	0	lysosomal_apc	8-20 weeks postpartum - 32-40 weeks	25	42	-0.011149021629182576	-0.017884673178199688	0.9388112500279517
1	0	lysosomal_apc	8-20 weeks postpartum - <16 weeks	25	45	-0.1673218842550148	-0.2860564180641398	0.22407725518663155
1	0	mif_cd74_receptor_state	32-40 weeks - <16 weeks	42	45	-0.20332580116827784	-0.25881154237917464	0.22910979600797657
1	0	mif_cd74_receptor_state	8-20 weeks postpartum - 32-40 weeks	25	42	0.3058115266507866	0.4111928986334141	0.07221679931479383
1	0	mif_cd74_receptor_state	8-20 weeks postpartum - <16 weeks	25	45	0.10248572548250875	0.1515764744104999	0.5060739872624811
1	0	monocyte_cd64	32-40 weeks - <16 weeks	42	45	0.22610653297299602	0.37062879775960755	0.08420953242388182
1	0	monocyte_cd64	8-20 weeks postpartum - 32-40 weeks	25	42	-0.49523149353081186	-0.8823987894426097	0.0005479290964762998
1	0	monocyte_cd64	8-20 weeks postpartum - <16 weeks	25	45	-0.2691249605578159	-0.45463549056486635	0.054839433381379005
1	0	regulatory_pregnancy	32-40 weeks - <16 weeks	42	45	-0.13894740094317032	-0.3576081109731861	0.09466739753001387
1	0	regulatory_pregnancy	8-20 weeks postpartum - 32-40 weeks	25	42	0.30575053514341893	0.8316335108522016	0.0019396726083354466
1	0	regulatory_pregnancy	8-20 weeks postpartum - <16 weeks	25	45	0.16680313420024862	0.41285465612147343	0.09199724410294016
1	1	hif_nampt_metabolic	32-40 weeks - <16 weeks	13	38	0.270959530011755	0.42219739192822453	0.1375091421481933
1	1	hif_nampt_metabolic	8-20 weeks postpartum - 32-40 weeks	15	13	-0.37024326527163526	-0.45864700203486825	0.2071532236946224
1	1	hif_nampt_metabolic	8-20 weeks postpartum - <16 weeks	15	38	-0.09928373525988028	-0.12880835217421888	0.7175845020259184
1	1	hla_ii_only	32-40 weeks - <16 weeks	13	38	0.2995008179032866	0.42020649178500424	0.13115865808224095
1	1	hla_ii_only	8-20 weeks postpartum - 32-40 weeks	15	13	-0.47281608821760407	-0.6575424674993087	0.07808896442031851
1	1	hla_ii_only	8-20 weeks postpartum - <16 weeks	15	38	-0.17331527031431748	-0.22342421082351197	0.4798465866519843
1	1	ifn_apc	32-40 weeks - <16 weeks	13	38	0.10817424531457426	0.175151873598399	0.5137004855303402
1	1	ifn_apc	8-20 weeks postpartum - 32-40 weeks	15	13	-0.4798356321906583	-0.6231147526536804	0.09080696913336783
1	1	ifn_apc	8-20 weeks postpartum - <16 weeks	15	38	-0.37166138687608397	-0.4962031974964775	0.1719565490893175
1	1	lysosomal_apc	32-40 weeks - <16 weeks	13	38	-8.316755599031139e-05	-0.00017480843979391815	0.9995015989614217
1	1	lysosomal_apc	8-20 weeks postpartum - 32-40 weeks	15	13	-0.21350055240777238	-0.5533864001554535	0.14535000499233175
1	1	lysosomal_apc	8-20 weeks postpartum - <16 weeks	15	38	-0.21358371996376269	-0.4535762764277163	0.09685760340997993
1	1	mif_cd74_receptor_state	32-40 weeks - <16 weeks	13	38	0.27474571161497024	0.3438052982085321	0.19887004956188656
1	1	mif_cd74_receptor_state	8-20 weeks postpartum - 32-40 weeks	15	13	-0.2722551595808476	-0.37173253637682424	0.3100050506086394
1	1	mif_cd74_receptor_state	8-20 weeks postpartum - <16 weeks	15	38	0.0024905520341226284	0.002933522415084934	0.9921462806211537
1	1	monocyte_cd64	32-40 weeks - <16 weeks	13	38	0.07306658338766003	0.11968947909338092	0.6467088906152941
1	1	monocyte_cd64	8-20 weeks postpartum - 32-40 weeks	15	13	-0.43491701879651257	-0.6723624810046559	0.07033254885183603
1	1	monocyte_cd64	8-20 weeks postpartum - <16 weeks	15	38	-0.36185043540885253	-0.5237995076318362	0.11802343889243731
1	1	regulatory_pregnancy	32-40 weeks - <16 weeks	13	38	-0.14522350503279274	-0.35133559750621274	0.21771238226030787
