dataset	therapy_class	therapy	disease	tissue_or_compartment	design	analysis_scope	module	n_responder	n_nonresponder	mean_responder	mean_nonresponder	delta_responder_minus_nonresponder	hedges_g	welch_t	p	auc_responder_high	confounders	generic_adjusted_delta	generic_adjusted_p	generic_adjusted_hedges_g	generic_adjustment_covariates	module_generic_max_abs_r	fdr	min_group_n	effect_claim_allowed	kill_reason	global_baseline_fdr	global_generic_adjusted_fdr	direction	independent_nominal_same_module_direction_count	independent_nominal_same_module_direction_datasets	strict_claim_allowed	strict_kill_reason
GSE138746	anti-TNF	adalimumab/etanercept	rheumatoid arthritis	sorted PBMC/CD14/CD4	baseline sorted RNA-seq; moderate/good vs none	compartment=CD14_monocyte;drug=adalimumab	ifn_apc	20	18	0.0199596788262617	-0.2041028377831217	0.2240625166093834	0.2925476074810623	0.9023848939265882	0.3740742210860271	0.5972222222222223	drug, compartment, response-class encoding, baseline disease activity; generic inflammation tested by inflammatory_nfkb/ifn_apc residualization	0.2259850883682615	0.3510389104913134	0.305365381858415	inflammatory_nfkb	0.2538718244359903	0.7002088144592507	18	False	not_corrected_significant	0.9473413372095744	0.9956027053275534	higher_in_responders_or_post	0		False	global_baseline_fdr>0.10;global_generic_adjusted_fdr>0.10;no_independent_same_module_direction_replication;
GSE138746	anti-TNF	adalimumab/etanercept	rheumatoid arthritis	sorted PBMC/CD14/CD4	baseline sorted RNA-seq; moderate/good vs none	compartment=CD14_monocyte;drug=adalimumab	hla_ii_apc	20	18	-0.0209697323817107	-0.2569016302764872	0.2359318978947765	0.2663719907561829	0.8305741181000229	0.4120543244528695	0.5416666666666667	drug, compartment, response-class encoding, baseline disease activity; generic inflammation tested by inflammatory_nfkb/ifn_apc residualization	0.0201720027625517	0.8942492723845615	0.043018004850819	inflammatory_nfkb,ifn_apc	0.849828954467205	0.7002088144592507	18	False	not_corrected_significant	0.9473413372095744	0.9998367398099568	higher_in_responders_or_post	0		False	global_baseline_fdr>0.10;global_generic_adjusted_fdr>0.10;generic_module_collinearity>0.70;no_independent_same_module_direction_replication;
GSE138746	anti-TNF	adalimumab/etanercept	rheumatoid arthritis	sorted PBMC/CD14/CD4	baseline sorted RNA-seq; moderate/good vs none	compartment=CD14_monocyte;drug=adalimumab	lysosomal_apc	20	18	-0.007586927479265	0.0604354826161743	-0.0680224100954393	-0.1206057305307453	-0.3749448653247243	0.7101159484342763	0.45	drug, compartment, response-class encoding, baseline disease activity; generic inflammation tested by inflammatory_nfkb/ifn_apc residualization	-0.0454613789473932	0.7806219089352204	-0.0903257022444407	inflammatory_nfkb,ifn_apc	0.4371275811662212	0.7988804419885609	18	False	not_corrected_significant	0.9567680810732627	0.9998367398099568	lower_in_responders_or_post	0		False	global_baseline_fdr>0.10;global_generic_adjusted_fdr>0.10;no_independent_same_module_direction_replication;
GSE138746	anti-TNF	adalimumab/etanercept	rheumatoid arthritis	sorted PBMC/CD14/CD4	baseline sorted RNA-seq; moderate/good vs none	compartment=CD14_monocyte;drug=adalimumab	mif_cd74_receptor_state	20	18	-0.0167465098640263	-0.1739255172020906	0.1571790073380642	0.2487602392932267	0.7732781380345342	0.4449031653769492	0.5527777777777778	drug, compartment, response-class encoding, baseline disease activity; generic inflammation tested by inflammatory_nfkb/ifn_apc residualization	0.0283496654555927	0.8257584793425421	0.0718455316563291	inflammatory_nfkb,ifn_apc	0.7588025951321029	0.7002088144592507	18	False	not_corrected_significant	0.9473413372095744	0.9998367398099568	higher_in_responders_or_post	0		False	global_baseline_fdr>0.10;global_generic_adjusted_fdr>0.10;generic_module_collinearity>0.70;no_independent_same_module_direction_replication;
GSE138746	anti-TNF	adalimumab/etanercept	rheumatoid arthritis	sorted PBMC/CD14/CD4	baseline sorted RNA-seq; moderate/good vs none	compartment=CD14_monocyte;drug=adalimumab	mixscale_validated_ifng_readout	20	18	0.000284258242994	-0.1672034963866736	0.1674877546296676	0.2376648039267687	0.7365652960005366	0.4668058763061671	0.6027777777777777	drug, compartment, response-class encoding, baseline disease activity; generic inflammation tested by inflammatory_nfkb/ifn_apc residualization	-0.0191332810565711	0.7658740897212301	-0.0962899884115015	inflammatory_nfkb,ifn_apc	0.9499230625952824	0.7002088144592507	18	False	not_corrected_significant	0.9473413372095744	0.9998367398099568	higher_in_responders_or_post	0		False	global_baseline_fdr>0.10;global_generic_adjusted_fdr>0.10;generic_module_collinearity>0.70;no_independent_same_module_direction_replication;
GSE138746	anti-TNF	adalimumab/etanercept	rheumatoid arthritis	sorted PBMC/CD14/CD4	baseline sorted RNA-seq; moderate/good vs none	compartment=CD14_monocyte;drug=adalimumab	lipid_loader_repair	20	18	-0.1218400510739061	0.0231099574341985	-0.1449500085081047	-0.4672843486003826	-1.4978719520214727	0.1434561859705262	0.4	drug, compartment, response-class encoding, baseline disease activity; generic inflammation tested by inflammatory_nfkb/ifn_apc residualization	-0.0952616347122788	0.2412798333382822	-0.3728074421384279	inflammatory_nfkb,ifn_apc	0.4192169729083139	0.7002088144592507	18	False	not_corrected_significant	0.9473413372095744	0.9717298280037758	lower_in_responders_or_post	0		False	global_baseline_fdr>0.10;global_generic_adjusted_fdr>0.10;no_independent_same_module_direction_replication;
GSE138746	anti-TNF	adalimumab/etanercept	rheumatoid arthritis	sorted PBMC/CD14/CD4	baseline sorted RNA-seq; moderate/good vs none	compartment=CD14_monocyte;drug=adalimumab	complement_phagocytosis	20	18	-0.2071041755869319	-0.004168145311133	-0.2029360302757989	-0.3994011869185823	-1.215333605285307	0.2358949956444124	0.3944444444444444	drug, compartment, response-class encoding, baseline disease activity; generic inflammation tested by inflammatory_nfkb/ifn_apc residualization	-0.2486225881852226	0.076968319039568	-0.6006323858202213	inflammatory_nfkb,ifn_apc	0.4551472343081185	0.7002088144592507	18	False	not_corrected_significant	0.9473413372095744	0.9717298280037758	lower_in_responders_or_post	0		False	global_baseline_fdr>0.10;global_generic_adjusted_fdr>0.10;no_independent_same_module_direction_replication;
GSE138746	anti-TNF	adalimumab/etanercept	rheumatoid arthritis	sorted PBMC/CD14/CD4	baseline sorted RNA-seq; moderate/good vs none	compartment=CD14_monocyte;drug=adalimumab	hif_nampt_metabolic	20	18	0.1133606571159074	-0.0213879513807213	0.1347486084966287	0.1861036333469594	0.5957728286921198	0.5552538029999347	0.5166666666666667	drug, compartment, response-class encoding, baseline disease activity; generic inflammation tested by inflammatory_nfkb/ifn_apc residualization	0.1622850472932321	0.2384067378549555	0.378612814120803	inflammatory_nfkb,ifn_apc	0.7932357982746506	0.7138977467142017	18	False	not_corrected_significant	0.9492982233755103	0.9717298280037758	higher_in_responders_or_post	0		False	global_baseline_fdr>0.10;global_generic_adjusted_fdr>0.10;generic_module_collinearity>0.70;no_independent_same_module_direction_replication;
GSE138746	anti-TNF	adalimumab/etanercept	rheumatoid arthritis	sorted PBMC/CD14/CD4	baseline sorted RNA-seq; moderate/good vs none	compartment=CD14_monocyte;drug=adalimumab	inflammatory_nfkb	20	18	0.0232532921527563	0.0316534990002078	-0.0084002068474514	-0.0097736695965535	-0.0308689490991504	0.9755446506930096	0.4972222222222222	drug, compartment, response-class encoding, baseline disease activity; generic inflammation tested by inflammatory_nfkb/ifn_apc residualization	-0.071496760610778	0.7862089104636318	-0.0860907472841356	ifn_apc	0.2538718244359904	0.9755446506930096	18	False	not_corrected_significant	0.9850621594802584	0.9998367398099568	lower_in_responders_or_post	0		False	global_baseline_fdr>0.10;global_generic_adjusted_fdr>0.10;no_independent_same_module_direction_replication;
GSE138746	anti-TNF	adalimumab/etanercept	rheumatoid arthritis	sorted PBMC/CD14/CD4	baseline sorted RNA-seq; moderate/good vs none	compartment=CD14_monocyte;drug=etanercept	ifn_apc	17	23	-0.1040827863539774	0.2193071683299337	-0.3233899546839111	-0.4029653392033833	-1.3325264925878202	0.190663667298514	0.3861892583120205	drug, compartment, response-class encoding, baseline disease activity; generic inflammation tested by inflammatory_nfkb/ifn_apc residualization	-0.3257702816948163	0.18634652476403	-0.4082924080417144	inflammatory_nfkb	0.1021553645359366	0.4103425440333272	17	False	not_corrected_significant	0.9473413372095744	0.9717298280037758	lower_in_responders_or_post	0		False	global_baseline_fdr>0.10;global_generic_adjusted_fdr>0.10;no_independent_same_module_direction_replication;
GSE138746	anti-TNF	adalimumab/etanercept	rheumatoid arthritis	sorted PBMC/CD14/CD4	baseline sorted RNA-seq; moderate/good vs none	compartment=CD14_monocyte;drug=etanercept	hla_ii_apc	17	23	-0.0587721860776794	0.2627283111274505	-0.3215004972051299	-0.3488210346182548	-1.135130915926815	0.2636606628853267	0.3938618925831202	drug, compartment, response-class encoding, baseline disease activity; generic inflammation tested by inflammatory_nfkb/ifn_apc residualization	0.0147359290316844	0.8989795966266181	0.0393104277891783	inflammatory_nfkb,ifn_apc	0.915790066526958	0.4103425440333272	17	False	not_corrected_significant	0.9473413372095744	0.9998367398099568	lower_in_responders_or_post	0		False	global_baseline_fdr>0.10;global_generic_adjusted_fdr>0.10;generic_module_collinearity>0.70;no_independent_same_module_direction_replication;
GSE138746	anti-TNF	adalimumab/etanercept	rheumatoid arthritis	sorted PBMC/CD14/CD4	baseline sorted RNA-seq; moderate/good vs none	compartment=CD14_monocyte;drug=etanercept	lysosomal_apc	17	23	-0.3079480043037997	0.1869137363329819	-0.4948617406367817	-0.7959441893614949	-2.351395280363443	0.0272977286163397	0.3043478260869565	drug, compartment, response-class encoding, baseline disease activity; generic inflammation tested by inflammatory_nfkb/ifn_apc residualization	-0.4587439989090058	0.0342236692225173	-0.7625217392477255	inflammatory_nfkb,ifn_apc	0.2282820075534948	0.2456795575470577	17	False	not_corrected_significant	0.853320209466879	0.9717298280037758	lower_in_responders_or_post	0		False	global_baseline_fdr>0.10;global_generic_adjusted_fdr>0.10;no_independent_same_module_direction_replication;
GSE138746	anti-TNF	adalimumab/etanercept	rheumatoid arthritis	sorted PBMC/CD14/CD4	baseline sorted RNA-seq; moderate/good vs none	compartment=CD14_monocyte;drug=etanercept	mif_cd74_receptor_state	17	23	-0.0596988676794024	0.1948030546725151	-0.2545019223519175	-0.357582172465654	-1.1144015165476124	0.2735616960222181	0.4194373401534526	drug, compartment, response-class encoding, baseline disease activity; generic inflammation tested by inflammatory_nfkb/ifn_apc residualization	-0.019574273016036	0.8856377980339747	-0.0478010949745556	inflammatory_nfkb,ifn_apc	0.8244076908440721	0.4103425440333272	17	False	not_corrected_significant	0.9473413372095744	0.9998367398099568	lower_in_responders_or_post	0		False	global_baseline_fdr>0.10;global_generic_adjusted_fdr>0.10;generic_module_collinearity>0.70;no_independent_same_module_direction_replication;
GSE138746	anti-TNF	adalimumab/etanercept	rheumatoid arthritis	sorted PBMC/CD14/CD4	baseline sorted RNA-seq; moderate/good vs none	compartment=CD14_monocyte;drug=etanercept	mixscale_validated_ifng_readout	17	23	-0.1143047882843368	0.2150938769971276	-0.3293986652814644	-0.4360089799374552	-1.4678253762338145	0.1504047074421755	0.4143222506393862	drug, compartment, response-class encoding, baseline disease activity; generic inflammation tested by inflammatory_nfkb/ifn_apc residualization	-0.047905274433754	0.5819706635006472	-0.1857014670908053	inflammatory_nfkb,ifn_apc	0.9377178388877602	0.4103425440333272	17	False	not_corrected_significant	0.9473413372095744	0.9956027053275534	lower_in_responders_or_post	0		False	global_baseline_fdr>0.10;global_generic_adjusted_fdr>0.10;generic_module_collinearity>0.70;no_independent_same_module_direction_replication;
GSE138746	anti-TNF	adalimumab/etanercept	rheumatoid arthritis	sorted PBMC/CD14/CD4	baseline sorted RNA-seq; moderate/good vs none	compartment=CD14_monocyte;drug=etanercept	lipid_loader_repair	17	23	0.0556486024089632	0.046730241161311	0.0089183612476522	0.0208427922597446	0.069594505732823	0.9448813683950952	0.5319693094629155	drug, compartment, response-class encoding, baseline disease activity; generic inflammation tested by inflammatory_nfkb/ifn_apc residualization	-0.0345435047520296	0.7761838869124731	-0.085172561659552	inflammatory_nfkb,ifn_apc	0.2172492482183552	0.9448813683950952	17	False	not_corrected_significant	0.9845637352824658	0.9998367398099568	higher_in_responders_or_post	0		False	global_baseline_fdr>0.10;global_generic_adjusted_fdr>0.10;no_independent_same_module_direction_replication;
GSE138746	anti-TNF	adalimumab/etanercept	rheumatoid arthritis	sorted PBMC/CD14/CD4	baseline sorted RNA-seq; moderate/good vs none	compartment=CD14_monocyte;drug=etanercept	complement_phagocytosis	17	23	-0.0815035202984362	0.2435943466266303	-0.3250978669250666	-0.5673439091925686	-1.938249300641805	0.0602428482489763	0.2941176470588235	drug, compartment, response-class encoding, baseline disease activity; generic inflammation tested by inflammatory_nfkb/ifn_apc residualization	-0.2196597001164835	0.1740859301049356	-0.4214712752358707	inflammatory_nfkb,ifn_apc	0.4495065487376553	0.2710928171203937	17	False	not_corrected_significant	0.9473413372095744	0.9717298280037758	lower_in_responders_or_post	0		False	global_baseline_fdr>0.10;global_generic_adjusted_fdr>0.10;no_independent_same_module_direction_replication;
