gene	source	query	hit_count	url	notes
CD44	EuropePMC	"""CD44"" autoimmune"	20529	https://europepmc.org/search?query=%22CD44%22+autoimmune	"[{""doi"": ""10.1016/j.clim.2026.110712"", ""id"": ""42128213"", ""journal"": ""Clin Immunol"", ""source"": ""MED"", ""title"": ""The crosstalk between SPP1&lt;sup&gt;+&lt;/sup&gt; macrophages and follicular helper T cells promotes the immune disorder of Graves' disease."", ""year"": ""2026""}, {""doi"": ""10.3390/ijms27083535"", ""id"": ""42074179"", ""journal"": ""Int J Mol Sci"", ""source"": ""MED"", ""title"": ""Single-Cell Analysis Highlights Pivotal Role of Eosinophil-Basophil Mast Cell Progenitor-Related Mechanism in Primary Immune Thrombocytopenia."", ""year"": ""2026""}, {""doi"": ""10.1007/s10067-026-08143-6"", ""id"": ""42062698"", ""journal"": ""Clin Rheumatol"", ""source"": ""MED"", ""title"": ""Integrated multi-dimensional analyses reveal a BTN3A2-centered diagnostic risk score and a monocyte-T cell axis as central drivers of dermatomyositis."", ""year"": ""2026""}]"
CD44	ClinicalTrials.gov	CD44 autoimmune	6	https://clinicaltrials.gov/search?term=CD44+autoimmune	"[{""conditions"": ""Adult Acute Myeloid Leukemia With 11q23 (MLL) Abnormalities;Adult Acute Myeloid Leukemia With Inv(16)(p13;q22);Adult Acute Myeloid Leukemia With t(15;17)(q22;q12);Adult Acute Myeloid Leukemia With t(16;16)(p13;q22);Adult Acute Myeloid Leukemia With t(8;21)(q22;q22);Atypical Chronic Myeloid Leukemia, BCR-ABL1 Negative;Childhood Myelodysplastic Syndromes;Chronic Myelogenous Leukemia, BCR-ABL1 Positive;Disseminated Neuroblastoma;Malignant Neoplasm;Ovarian Choriocarcinoma;Ovarian Embryonal Carcinoma;Ovarian Immature Teratoma;Ovarian Mature Teratoma;Ovarian Mixed Germ Cell Tumor;Ovarian Monodermal and Highly Specialized Teratoma;Ovarian Polyembryoma;Ovarian Yolk Sac Tumor;Previously Treated Myelodysplastic Syndromes;Recurrent Adult Acute Lymphoblastic Leukemia;Recurrent Adult Acute Myeloid Leukemia;Recurrent Adult Burkitt Lymphoma;Recurrent Adult Diffuse Large Cell Lymphoma;Recurrent Adult Diffuse Mixed Cell Lymphoma;Recurrent Adult Hodgkin Lymphoma;Recurrent Adult Immunoblastic Large Cell Lymphoma;Recurrent Adult Lymphoblastic Lymphoma;Recurrent Grade 3 Follicular Lymphoma;Recurrent Malignant Testicular Germ Cell Tumor;Recurrent Mantle Cell Lymphoma;Recurrent Neuroblastoma;Recurrent Ovarian Epithelial Cancer;Recurrent Ovarian Germ Cell Tumor;Refractory Chronic Lymphocytic Leukemia;Refractory Multiple Myeloma;Relapsing Chronic Myelogenous Leukemia;Stage I Multiple Myeloma;Stage II Multiple Myeloma;Stage II Ovarian Epithelial Cancer;Stage III Malignant Testicular Germ Cell Tumor;Stage III Multiple Myeloma;Stage III Ovarian Epithelial Cancer;Stage IIIA Breast Cancer;Stage IIIB Breast Cancer;Stage IIIC Breast Cancer;Stage IV Breast Cancer;Stage IV Ovarian Epithelial Cancer;Testicular Choriocarcinoma;Testicular Choriocarcinoma and Embryonal Carcinoma;Testicular Choriocarcinoma and Seminoma;Testicular Choriocarcinoma and Teratoma;Testicular Choriocarcinoma and Yolk Sac Tumor;Testicular Embryonal Carcinoma;Testicular Embryonal Carcinoma and Seminoma;Testicular Embryonal Carcinoma and Teratoma;Testicular Embryonal Carcinoma and Teratoma With Seminoma;Testicular Embryonal Carcinoma and Yolk Sac Tumor;Testicular Embryonal Carcinoma and Yolk Sac Tumor With Seminoma;Testicular Teratoma;Testicular Yolk Sac Tumor;Testicular Yolk Sac Tumor and Teratoma;Testicular Yolk Sac Tumor and Teratoma With Seminoma"", ""interventions"": ""ipilimumab;therapeutic allogeneic lymphocytes"", ""nct_id"": ""NCT00060372"", ""phase"": ""PHASE1"", ""status"": ""COMPLETED"", ""title"": ""Ipilimumab After Allogeneic Stem Cell Transplant in Treating Patients With Persistent or Progressive Cancer""}, {""conditions"": ""Multiple Sclerosis, Relapsing-Remitting"", ""interventions"": ""Alemtuzumab"", ""nct_id"": ""NCT02419378"", ""phase"": ""PHASE4"", ""status"": ""COMPLETED"", ""title"": ""Alemtuzumab in Autoimmune Inflammatory Neurodegeneration: Mechanisms of Action and Neuroprotective Potential""}, {""conditions"": ""Vascular Complications"", ""interventions"": ""Evaluation of the vascular impact of ICIs (Immune Checkpoint Inhibitors)"", ""nct_id"": ""NCT07535944"", ""phase"": """", ""status"": ""NOT_YET_RECRUITING"", ""title"": ""Prospective Exploration of Vascular Complications Associated With the Use of Immune Checkpoint Inhibitors""}, {""conditions"": ""Multiple Sclerosis"", ""interventions"": ""Fecal microbial transplant (FMT)"", ""nct_id"": ""NCT04096443"", ""phase"": ""EARLY_PHASE1"", ""status"": ""ACTIVE_NOT_RECRUITING"", ""title"": ""Oral FMT (Fecal Microbial Transplant) in Subjects with Multiple Sclerosis""}, {""conditions"": ""Inflammatory Bowel Diseases (IBD);Ankylosing Spondylitis (AS)"", ""interventions"": ""Pinch biopsies;Flexible sigmoidoscopy"", ""nct_id"": ""NCT02389075"", ""phase"": """", ""status"": ""ACTIVE_NOT_RECRUITING"", ""title"": ""The Colonic Microbiome and Mucosal Immunity in Inflammatory Bowel Disease and Ankylosing Spondylitis""}, {""conditions"": ""Systemic Sclerosis;Systemic Scleroderma"", ""interventions"": ""Blood test;Skin biopsies"", ""nct_id"": ""NCT03816189"", ""phase"": """", ""status"": ""COMPLETED"", ""title"": ""Role of Eosinophil in Fibrogenesis of Systemic Sclerosis""}]"
CD44	ChEMBL	CD44	21	https://www.ebi.ac.uk/chembl/g/#browse/activities/filter/target_chembl_id%3ACHEMBL3232692	"{""best_target"": {""accessions"": ""P16070"", ""gene_symbols"": ""CD44"", ""organism"": ""Homo sapiens"", ""pref_name"": ""CD44 antigen"", ""target_chembl_id"": ""CHEMBL3232692"", ""target_type"": ""SINGLE PROTEIN""}, ""n_search_hits"": 3}"
CD44	Google Patents	CD44 antibody autoimmune disease hyaluronan	NA_browser	https://patents.google.com/?q=CD44+antibody+autoimmune+disease+hyaluronan	query URL recorded; no unauthenticated count API used
CD44	OpenTargets	CD44	0	https://platform.opentargets.org/search?q=CD44	local opentargets_candidate_disease_hits.tsv row count used for selected autoimmune panel
CD274	EuropePMC	"(""PD-L1"" OR CD274) autoimmune"	32490	https://europepmc.org/search?query=%28%22PD-L1%22+OR+CD274%29+autoimmune	"[{""doi"": ""10.1002/iid3.70464"", ""id"": ""42093118"", ""journal"": ""Immun Inflamm Dis"", ""source"": ""MED"", ""title"": ""Expression of Programmed Death-Ligand 1 in Cervical Cancer: Correlation With Histologic Subtypes and Clinicopathological Features."", ""year"": ""2026""}, {""doi"": null, ""id"": ""PMC13006438"", ""journal"": ""Cell Rep Med"", ""source"": ""PMC"", ""title"": ""Messenger RNA delivery to islet \u03b2 cells using conjugated lipid nanoparticles"", ""year"": ""2026""}, {""doi"": ""10.1007/s10529-026-03711-x"", ""id"": ""41731185"", ""journal"": ""Biotechnol Lett"", ""source"": ""MED"", ""title"": ""Molecular determinants of the immunomodulatory potentials of a novel bifunctional TGF-\u03b21/PD-L1 fusion protein."", ""year"": ""2026""}]"
CD274	ClinicalTrials.gov	PD-L1 autoimmune	10	https://clinicaltrials.gov/search?term=PD-L1+autoimmune	"[{""conditions"": ""Gastric or Gastro-oesophageal Junction Carcinoma;Advanced, Relapsed Gastric or Gastro-oesophageal Junction Carcinoma;Second-line Therapy"", ""interventions"": ""FGFR2"", ""nct_id"": ""NCT04713059"", ""phase"": """", ""status"": ""UNKNOWN"", ""title"": ""Toripalimab Combined With Anlotinib for Patients With Advanced, Relapsed, or Refractory Gastric, or Esophagogastric Junction Cancer (EGJC)""}, {""conditions"": ""Non-small Cell Lung Cancer"", ""interventions"": ""Pembrolizumab 200 mg;Paclitaxel 45 mg/m^2;Carboplatin AUC6;Cisplatin 75 mg/m^2;Pemetrexed 500 mg/m^2;Thoracic Radiation Therapy (TRT);Paclitaxel 200 mg/m^2;Carboplatin AUC2"", ""nct_id"": ""NCT03631784"", ""phase"": ""PHASE2"", ""status"": ""COMPLETED"", ""title"": ""A Trial of Pembrolizumab in Combination With Chemotherapy and Radiotherapy in Stage III NSCLC (KEYNOTE-799, MK-3475-799)""}, {""conditions"": ""HepatoCellular Carcinoma"", ""interventions"": ""PD-1;Sorafenib"", ""nct_id"": ""NCT04152356"", ""phase"": """", ""status"": ""UNKNOWN"", ""title"": ""Combined Immunotherapy and Targeted Therapy for Hepatocellular Carcinoma""}, {""conditions"": ""Non Small Cell Lung Cancer Metastatic"", ""interventions"": """", ""nct_id"": ""NCT07190677"", ""phase"": """", ""status"": ""RECRUITING"", ""title"": ""First-line Therapy With Nivolumab Plus Ipilimumab in Combination With Chemotherapy for Metatastatic NSCLC (NICReWo Trial)""}, {""conditions"": ""Autoimmune Disease;Crohn Disease;Dermatomyositis;Hematopoietic and Lymphoid Cell Neoplasm;Inflammatory Bowel Disease;Malignant Solid Neoplasm;Multiple Sclerosis;Psoriasis;Psoriatic Arthritis;Rheumatoid Arthritis;Sjogren Syndrome;Systemic Lupus Erythematosus;Systemic Scleroderma;Ulcerative Colitis"", ""interventions"": ""Biospecimen Collection;Cabozantinib;Fluoropyrimidine;Ipilimumab;Nivolumab;Platinum Compound;Platinum Doublet"", ""nct_id"": ""NCT03816345"", ""phase"": ""PHASE1"", ""status"": ""RECRUITING"", ""title"": ""Testing an Immunotherapy Anti-cancer Drug, Nivolumab, for Advanced Cancers in Patients With Autoimmune Disorders, AIM-NIVO""}, {""conditions"": ""HIV Infected Patients With Cancer Treated by ICPi"", ""interventions"": ""Blood sample"", ""nct_id"": ""NCT03354936"", ""phase"": """", ""status"": ""UNKNOWN"", ""title"": ""ANRS CO24 OncoVIHAC (Onco VIH Anti Checkpoint)""}, {""conditions"": ""Vascular Complications"", ""interventions"": ""Evaluation of the vascular impact of ICIs (Immune Checkpoint Inhibitors)"", ""nct_id"": ""NCT07535944"", ""phase"": """", ""status"": ""NOT_YET_RECRUITING"", ""title"": ""Prospective Exploration of Vascular Complications Associated With the Use of Immune Checkpoint Inhibitors""}, {""conditions"": ""Multiple Sclerosis"", ""interventions"": ""Neurofilament Light Chain ,Chitinase-3 Like-1 Protein Levels and Tolerogenic plasmacytoid Dendritic Cells"", ""nct_id"": ""NCT05451069"", ""phase"": """", ""status"": ""UNKNOWN"", ""title"": ""Neurofilament Light Chain ,Chitinase-3 Like-1 Proteins and Plasmacytoid Dendritic Cells in Multiple Sclerosis""}, {""conditions"": ""Carcinoma, Non-Small-Cell Lung"", ""interventions"": """", ""nct_id"": ""NCT05885698"", ""phase"": """", ""status"": ""RECRUITING"", ""title"": ""MYLUNG Consortium Part 3: Observational Study""}, {""conditions"": ""Carcinoma, Non-Small-Cell Lung"", ""interventions"": """", ""nct_id"": ""NCT05644808"", ""phase"": """", ""status"": ""ACTIVE_NOT_RECRUITING"", ""title"": ""MYLUNG Consortium Study Protocol 2""}]"
CD274	ChEMBL	CD274	1875	https://www.ebi.ac.uk/chembl/g/#browse/activities/filter/target_chembl_id%3ACHEMBL3580522	"{""best_target"": {""accessions"": ""Q9NZQ7"", ""gene_symbols"": ""CD274"", ""organism"": ""Homo sapiens"", ""pref_name"": ""Programmed cell death 1 ligand 1"", ""target_chembl_id"": ""CHEMBL3580522"", ""target_type"": ""SINGLE PROTEIN""}, ""n_search_hits"": 7}"
CD274	Google Patents	PD-L1 agonist autoimmune disease CD274	NA_browser	https://patents.google.com/?q=PD-L1+agonist+autoimmune+disease+CD274	query URL recorded; no unauthenticated count API used
CD274	OpenTargets	CD274	0	https://platform.opentargets.org/search?q=CD274	local opentargets_candidate_disease_hits.tsv row count used for selected autoimmune panel
