analysis	disease_name	compartment	role	gene
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	ADORA2A
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	ADORA2B
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	ALOX5
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	ANGPT1
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	ANGPT2
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	ANXA1
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	AREG
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	AXL
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	C1QA
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	C1QB
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	C1QC
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	C1R
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	C1S
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	C2
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	C3
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	C3AR1
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	C5AR1
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	CALR
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	CCL13
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	CCL2
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	CCL20
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	CCL3
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	CCL4
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	CCL5
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	CCL7
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	CCL8
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	CCR2
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	CCR5
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	CCR6
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	CD200
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	CD200R1
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	CD24
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	CD27
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	CD274
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	CD36
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	CD40
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	CD40LG
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	CD44
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	CD70
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	CD74
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	CFB
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	CFD
