analysis	disease_name	compartment	role	gene	n_case_donors	n_control_donors	mean_case	mean_control	delta_case_minus_control	hedges_g	welch_t	p	fdr	tissue_up_trend	tissue_down_trend
psoriasis_skin_stromal	psoriasis	skin stromal	tissue_resident	ADORA2A	3	3	0.0626431664527198	-0.0006179412877634778	0.06326110774048328	1.97218354223089	3.0192770984877253	0.058586108376119626	0.46761074344514814	False	False
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	ADORA2A	6	6	0.00292131879933418	0.0	0.00292131879933418	0.8395402765156261	1.5753036150859463	0.1760053124727499	0.6258176991385183	False	False
t1d_endothelial_cell	type 1 diabetes mellitus	pancreatic endothelial cell	tissue_resident	ADORA2A	5	17	0.23679173546944843	-0.012878023073784986	0.24966975854323342	1.1839657000895638	1.3422201202452761	0.24867439955410595	0.6647041989887981	False	False
t1d_ductal_cell	type 1 diabetes mellitus	pancreatic ductal cell	tissue_resident	ADORA2A	5	19	-0.013139708280691196	-0.0016295463989967893	-0.011510161881694406	-0.2448828216905184	-1.0	0.3305649312781842	0.7000024535402347	False	False
sjogren_gland_stromal	Sjogren syndrome	salivary gland stromal/endothelial	tissue_resident	ADORA2A	10	14	4.240779976665296e-05	0.0	4.240779976665296e-05	0.47736450031880123	0.9999999999999999	0.3434363961379137	0.7000024535402347	False	False
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	ADORA2A	6	6	0.00011111404428961248	0.0	0.00011111404428961248	0.532938710021193	1.0000000000000002	0.36321746764912244	0.7000024535402347	False	False
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	ADORA2A	6	6	0.0006833534729495804	0.0	0.0006833534729495804	0.5329387100211931	1.0	0.3632174676491227	0.7000024535402347	False	False
psoriasis_keratinocyte	psoriasis	skin keratinocyte	tissue_resident	ADORA2A	3	3	-0.01573431227535845	-0.003352066218861882	-0.012382246056496569	-0.6755518501839521	-1.0342233298398682	0.3853589714129023	0.7082467058452038	False	False
t1d_stellate_cell	type 1 diabetes mellitus	pancreatic stellate cell	tissue_resident	ADORA2A	4	17	0.0022705262793300727	0.0	0.0022705262793300727	1.20797350964332	1.0000000000000002	0.3910022189557704	0.7087469724514041	False	False
t1d_beta_cell	type 1 diabetes mellitus	pancreatic beta cell	tissue_resident	ADORA2A	3	19	0.129740194168425	-0.01361187385979588	0.14335206802822087	1.5703280693158919	0.9453365551580074	0.44391126540690706	0.7354132285003643	False	False
t1d_acinar_cell	type 1 diabetes mellitus	pancreatic acinar cell	tissue_resident	ADORA2A	5	18	0.011196056938642274	0.0008662104478122013	0.010329846490830073	0.23399563092640813	0.5850068015781215	0.5729036383781211	0.8181572712166314	False	False
psoriasis_skin_apc	psoriasis	skin APC	myeloid_apc	ADORA2A	3	3	0.12572069764049848	0.03250369722886536	0.09321700041163311	0.32770370129413295	0.5016917843700381	0.6529254287774962	0.8598459819667815	False	False
ra_blood_myeloid	rheumatoid arthritis	blood myeloid/APC	myeloid_apc	ADORA2A	18	18	0.009669709443605469	0.0021189040161914176	0.007550805427414051	0.11124399851348045	0.34131681362090593	0.7349990234775724	0.9168895912605972	False	False
sjogren_gland_epithelial	Sjogren syndrome	salivary gland epithelial	tissue_resident	ADORA2A	11	14	0.002856650166897576	0.000572684215550466	0.0022839659513471102	0.08736710259707046	0.21887448515897842	0.8290493945546495	0.9684686764168181	False	False
ibd_crohn_stromal	Crohn disease	colon stromal	tissue_resident	ADORA2A	6	6	0.0	0.0	0.0				1.0	False	False
ibd_uc_epithelial	ulcerative colitis	colon epithelial	tissue_resident	ADORA2A	6	6	0.0	0.0	0.0				1.0	False	False
ibd_uc_stromal	ulcerative colitis	colon stromal	tissue_resident	ADORA2A	6	6	0.0	0.0	0.0				1.0	False	False
sjogren_gland_apc	Sjogren syndrome	salivary gland APC	myeloid_apc	ADORA2A	9	13	0.0	0.0	0.0				1.0	False	False
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	ADORA2B	6	6	0.48805161006211023	-0.01386501690580849	0.5019166269679187	1.5515538575381944	2.9113176212636063	0.029620742685652176	0.3717832588480717	True	False
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	ADORA2B	6	6	0.31882274290815127	-0.01386501690580849	0.33268775981395976	1.163007104073037	2.182253009969549	0.07434085917797775	0.4908863780638839	True	False
ibd_uc_stromal	ulcerative colitis	colon stromal	tissue_resident	ADORA2B	6	6	0.30069552241697245	-0.01988403893305073	0.3205795613500232	0.9359753989234728	1.7562533577008363	0.1380866990805937	0.5971549110623013	False	False
ibd_crohn_stromal	Crohn disease	colon stromal	tissue_resident	ADORA2B	6	6	0.1586764297468324	-0.01988403893305073	0.17856046867988315	0.8546993750543918	1.6037479713575384	0.16624189370928136	0.61357697786746	False	False
t1d_acinar_cell	type 1 diabetes mellitus	pancreatic acinar cell	tissue_resident	ADORA2B	5	18	-0.026030488414880565	0.008156940564692454	-0.03418742897957302	-0.3598663430086039	-1.2894776489347963	0.21125521590946983	0.654559354844106	False	False
psoriasis_keratinocyte	psoriasis	skin keratinocyte	tissue_resident	ADORA2B	3	3	-0.2142802693052824	-0.04763672943167612	-0.16664353987360628	-0.912892605795444	-1.397575671349092	0.2455174125451279	0.6636970150841421	False	False
psoriasis_skin_apc	psoriasis	skin APC	myeloid_apc	ADORA2B	3	3	-0.19133837406946555	0.04597834516024867	-0.23731671922971423	-0.9435450448109504	-1.4445024431989482	0.24942102752873002	0.666098213409307	False	False
t1d_beta_cell	type 1 diabetes mellitus	pancreatic beta cell	tissue_resident	ADORA2B	3	19	-0.0156470495052074	-0.013009332537337617	-0.0026377169678697826	-0.23264217303105864	-1.0000000000000002	0.33056493127818415	0.7000024535402347	False	False
psoriasis_skin_stromal	psoriasis	skin stromal	tissue_resident	ADORA2B	3	3	0.06142818323190969	0.008977995552674247	0.05245018767923544	0.7681462842336279	1.1759790276170516	0.3308532138363099	0.7000024535402347	False	False
sjogren_gland_stromal	Sjogren syndrome	salivary gland stromal/endothelial	tissue_resident	ADORA2B	10	14	0.012089634935794638	0.045105196156886386	-0.03301556122109175	-0.37513767426681643	-0.976824426790703	0.3394203182860703	0.7000024535402347	False	False
ibd_uc_epithelial	ulcerative colitis	colon epithelial	tissue_resident	ADORA2B	6	6	0.07322197005779248	0.012760649922795018	0.06046132013499746	0.47473354509065546	0.8907845051671647	0.40515929970602593	0.7145177815819466	False	False
t1d_endothelial_cell	type 1 diabetes mellitus	pancreatic endothelial cell	tissue_resident	ADORA2B	5	17	0.06759391789866126	0.009834325821303329	0.05775959207735793	0.3647030965555674	0.8550491619208855	0.4165622056094711	0.7206186803972845	False	False
ra_blood_myeloid	rheumatoid arthritis	blood myeloid/APC	myeloid_apc	ADORA2B	18	18	0.012725689634309596	0.0011119843463749128	0.011613705287934683	0.22153301714795076	0.6797035753403036	0.5015569856007809	0.7733092818639743	False	False
t1d_ductal_cell	type 1 diabetes mellitus	pancreatic ductal cell	tissue_resident	ADORA2B	5	19	0.027154685267560284	0.07555804851901549	-0.0484033632514552	-0.1847556482494583	-0.682938905064221	0.5017793303268	0.7733092818639743	False	False
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	ADORA2B	6	6	-0.004198905337112631	0.012760649922795018	-0.01695955525990765	-0.2784343159292667	-0.5224509135735222	0.6128723985376998	0.8415275138396294	False	False
sjogren_gland_epithelial	Sjogren syndrome	salivary gland epithelial	tissue_resident	ADORA2B	11	14	0.06568358098402281	0.09598914232164149	-0.030305561337618678	-0.1485961026897527	-0.4100362559613057	0.6860789514149659	0.8853500293226707	False	False
sjogren_gland_apc	Sjogren syndrome	salivary gland APC	myeloid_apc	ADORA2B	9	13	0.026158818909865687	0.05547451576328489	-0.029315696853419202	-0.12383173015043294	-0.31966946391719064	0.7525358913371257	0.9258869796801628	False	False
t1d_stellate_cell	type 1 diabetes mellitus	pancreatic stellate cell	tissue_resident	ADORA2B	4	17	-0.01696888417284649	-0.01018456385193416	-0.006784320320912331	-0.05638217877115038	-0.19225095182956642	0.8497540130500275	0.9766346743763775	False	False
t1d_stellate_cell	type 1 diabetes mellitus	pancreatic stellate cell	tissue_resident	ALOX5	4	17	0.037515376366500805	-0.02686673063300648	0.06438210699950728	0.6430324014000217	1.1889232563277843	0.29384638528005425	0.689409192200442	False	False
ibd_uc_stromal	ulcerative colitis	colon stromal	tissue_resident	ALOX5	6	6	0.11890927695069792	0.011545028033445424	0.10736424891725249	0.5221062527288994	0.9796741030655048	0.36196060157989557	0.7000024535402347	False	False
ibd_crohn_stromal	Crohn disease	colon stromal	tissue_resident	ALOX5	6	6	-0.029210311891849885	0.011545028033445424	-0.04075533992529531	-0.5329387100211931	-1.0000000000000002	0.36321746764912244	0.7000024535402347	False	False
t1d_acinar_cell	type 1 diabetes mellitus	pancreatic acinar cell	tissue_resident	ALOX5	5	18	0.10241280997151207	0.02040676204388929	0.08200604792762278	0.6415585774576292	0.8736588549361314	0.4265495055778987	0.7255042896087965	False	False
t1d_ductal_cell	type 1 diabetes mellitus	pancreatic ductal cell	tissue_resident	ALOX5	5	19	0.12525594723566244	0.03750130945495241	0.08775463778071002	0.6075056993001771	0.839880897744241	0.443122128714197	0.7354132285003643	False	False
