candidate_node	connected_anchor_count	connected_anchors	connection_roles	connection_weight_sum	connection_weight_max	source_database_count	top_source_databases	best_enrichr_tf_library	best_enrichr_tf_term	best_enrichr_tf_adjusted_p	best_enrichr_tf_overlap	chembl_target_id	chembl_pref_name	chembl_target_type	chembl_organism	chembl_activity_rows	chembl_scanned_activity_rows	chembl_best_nM	chembl_mechanism_rows	chembl_mechanism_molecules	chembl_target_status	chembl_activity_status	chembl_mechanism_status	chembl_target_mode	chembl_activity_mode	chembl_mechanism_mode	clinicaltrials_hits	europepmc_prior_hits	wave62_score	wave62_call	wave62_manual_blocker	wave62_prior_context_blocker	wave62_strong_l2g_disease_count	wave62_strong_qtl_coloc_disease_count	wave62_ms_max_relevant_qtl_h4	efferocytosis_screen_call	efferocytosis_median_lfc	efferocytosis_fdr	wave57_call	wave57_model_priority_score	wave61_call	wave61_manual_blocker	has_chembl_activity	has_chembl_mechanism	has_tf_enrichment_hint	manual_blocker	any_blocker	controller_score	wave69_call	wave69_call_priority
CD274	2	CD274;CD80	incoming_to_anchor;outgoing_from_anchor;self_anchor	14.819722502506647	5.999434497146563	14	Baccin2019;CellChatDB;CellPhoneDB;CellPhoneDB_Cellinker;CellTalkDB;Cellinker;HINT;ICELLNET;IntAct;LRdb;Lit-BM-17;Wojtowicz2020					CHEMBL3580522	Programmed cell death 1 ligand 1	SINGLE PROTEIN	Homo sapiens	1882.0	100.0	0.019	13.0	CHEMBL3707227:INHIBITOR;CHEMBL3301587:INHIBITOR;CHEMBL3833373:OTHER;CHEMBL4594535:BINDING AGENT;CHEMBL4298024:BINDING AGENT;CHEMBL4298006:BINDING AGENT;CHEMBL4297563:BINDING AGENT;CHEMBL4650483:INHIBITOR;CHEMBL4802221:INHIBITOR;CHEMBL4297828:INHIBITOR;CHEMBL4297729:INHIBITOR;CHEMBL4802209:INHIBITOR;CHEMBL4650423:INHIBITOR	200.0	200.0	200.0	cache	cache	cache	5.0	3625.0	2.9596697863916814	NO_GO_WAVE62_TARGET_RESOLUTION			1.0	8.0	0.0	UNRESOLVED	0.3307475199272691	0.9965506589785832		0.0			True	True	False	PD_L1_checkpoint_prior_art_and_autoimmune_safety_direction_risk	True	17.040789927374952	NO_GO_BLOCKED_PRIOR_OR_BROAD_BIOLOGY	2
CD80	2	CD274;CD80	incoming_to_anchor;outgoing_from_anchor;self_anchor	16.409012996973168	5.999434497146563	14	Baccin2019;CellChatDB;CellPhoneDB;CellPhoneDB_Cellinker;CellTalkDB;Cellinker;HINT;ICELLNET;IntAct;LRdb;Lit-BM-17;Wojtowicz2020					CHEMBL2364157	T-lymphocyte activation antigen CD80	SINGLE PROTEIN	Homo sapiens	0.0	0.0		3.0	CHEMBL1201823:INHIBITOR;CHEMBL1742990:INHIBITOR;CHEMBL2109191:INHIBITOR	200.0	200.0	200.0	cache	cache	cache	5.0	15783.0	1.980431238265584	NO_GO_WAVE62_TARGET_RESOLUTION			0.0	3.0	0.9886715596851404	UNRESOLVED	0.6897024474259502	0.920009505703422		0.0			False	True	False	costimulation_axis_prior_art_and_broad_T_cell_APC_biology	True	16.470383103720312	NO_GO_BLOCKED_PRIOR_OR_BROAD_BIOLOGY	2
MAPK14	2	NCF1;STAT4	incoming_to_anchor	13.607510149407986	8.46999043921053	26	HPRD;HPRD-phos;HPRD_KEA;HPRD_MIMP;KEA;MIMP;NCI-PID_ProtMapper;NetworKIN_KEA;PhosphoNetworks;PhosphoPoint;PhosphoSite_KEA;PhosphoSite_MIMP					CHEMBL260	Mitogen-activated protein kinase 14	SINGLE PROTEIN	Homo sapiens	8611.0	100.0	0.1	35.0	CHEMBL585902:INHIBITOR;CHEMBL3991932:INHIBITOR;CHEMBL3545117:INHIBITOR;CHEMBL2031465:INHIBITOR;CHEMBL9960:INHIBITOR;CHEMBL103667:INHIBITOR;CHEMBL3544968:INHIBITOR;CHEMBL3545074:INHIBITOR;CHEMBL3544998:INHIBITOR;CHEMBL1938400:INHIBITOR;CHEMBL3545139:INHIBITOR;CHEMBL1766582:INHIBITOR;CHEMBL203567:INHIBITOR;CHEMBL190333:INHIBITOR;CHEMBL3545384:INHIBITOR;CHEMBL3544930:INHIBITOR;CHEMBL1614702:INHIBITOR;CHEMBL1090173:INHIBITOR;CHEMBL3545201:INHIBITOR;CHEMBL1088750:INHIBITOR	200.0	200.0	200.0	cache	cache	cache	5.0	811.0	1.254088282585144	NO_GO_WAVE62_TARGET_RESOLUTION			3.0	0.0	0.0	UNRESOLVED	-0.2271063170261813	0.9971256078463696		0.0	NO_GO_WAVE61_GUARDRAIL		True	True	False	p38_MAPK_autoimmune_prior_art_and_broad_stress_axis	True	15.99104551690587	NO_GO_BLOCKED_PRIOR_OR_BROAD_BIOLOGY	2
TYK2	1	STAT4	incoming_to_anchor;manual_seed_controller	16.93998087842106	8.46999043921053	9	Cui2007;ProtMapper;REACH_ProtMapper;RLIMS-P_ProtMapper;SIGNOR;SignaLink3;Sparser_ProtMapper;Wang;manual_seed_from_immediate_known_biology									0.0			0.0								0.0	0.0	1.4414478540420532	NO_GO_WAVE62_TARGET_RESOLUTION	prior_art_autoimmune_kinase_class	prior_branch_blocker_or_directionality_unresolved	6.0	7.0	0.0	UNRESOLVED	-0.2736605542448057	1.0		0.0	NO_GO_WAVE61_GUARDRAIL	generic_JAK_STAT_axis	False	False	False	generic_JAK_STAT_axis_prior_art_host_defense	True	15.43998087842106	NO_GO_BLOCKED_PRIOR_OR_BROAD_BIOLOGY	2
RELA	3	CD274;TNFRSF9;TNFSF15	manual_seed_controller	14.817595846174745	5.999434497146563	1	manual_seed_from_immediate_known_biology					CHEMBL5533	Transcription factor p65	SINGLE PROTEIN	Homo sapiens	175.0	100.0	75.0	0.0		200.0	200.0	200.0	cache	cache	cache	5.0	5612.0	0.0				0.0	0.0	0.0	KO_IMPAIRS_EFFEROCYTOSIS_POSITIVE_REGULATOR	-0.6243116948342843	0.920009505703422		0.0			True	False	False	generic_NFKB_host_defense	True	15.241221460428006	NO_GO_BLOCKED_PRIOR_OR_BROAD_BIOLOGY	2
GSK3A	2	ARHGAP31;CD274	incoming_to_anchor	11.814233801572287	5.999434497146563	7	PhosphoSite_ProtMapper;PhosphoSite_noref;ProtMapper;SIGNOR;SIGNOR_ProtMapper;Sparser_ProtMapper;iPTMnet					CHEMBL2850	Glycogen synthase kinase-3 alpha	SINGLE PROTEIN	Homo sapiens	3464.0	93.0	0.08	1.0	CHEMBL362558:INHIBITOR	200.0	200.0	200.0	cache	cache	cache	5.0	202.0	0.0				0.0	0.0	0.0	UNRESOLVED	0.2025777569334197	0.9965506589785832		0.0			True	True	False	GSK3_family_pleiotropic_neuroimmune_metabolic	True	14.098284166902161	NO_GO_BLOCKED_PRIOR_OR_BROAD_BIOLOGY	2
INSR	2	FCGR2A;LPP	incoming_to_anchor	12.47062166244488	7.0221028151652645	2	KEA;NetworKIN_KEA					CHEMBL1981	Insulin receptor	SINGLE PROTEIN	Homo sapiens	3018.0	93.0	73.0	30.0	CHEMBL1201540:AGONIST;CHEMBL1201629:AGONIST;CHEMBL1201644:AGONIST;CHEMBL1201631:AGONIST;CHEMBL1201630:AGONIST;CHEMBL1201545:AGONIST;CHEMBL1201611:AGONIST;CHEMBL1201538:AGONIST;CHEMBL1201613:AGONIST;CHEMBL1201497:AGONIST;CHEMBL1201539:AGONIST;CHEMBL1201627:AGONIST;CHEMBL1201496:AGONIST;CHEMBL1201664:AGONIST;CHEMBL2104391:AGONIST;CHEMBL2107869:AGONIST;CHEMBL575448:INHIBITOR;CHEMBL5283463:INHIBITOR;CHEMBL1091644:INHIBITOR;CHEMBL2108569:AGONIST	200.0	200.0	200.0	cache	cache	cache	5.0	2744.0	0.0				0.0	0.0	0.0	UNRESOLVED	0.1169192467942602	1.0		0.0			True	True	False	systemic_insulin_receptor_metabolic_safety	True	13.221910450056532	NO_GO_BLOCKED_PRIOR_OR_BROAD_BIOLOGY	2
LYN	2	FCGR2A;FCGR2B	incoming_to_anchor	9.507205782755307	5.448518847279617	22	HINT;HPRD;HPRD-phos;HPRD_KEA;HPRD_MIMP;InnateDB;KEA;MIMP;PhosphoNetworks;PhosphoPoint;PhosphoSite_KEA;PhosphoSite_MIMP					CHEMBL3905	Tyrosine-protein kinase Lyn	SINGLE PROTEIN	Homo sapiens	2166.0	100.0	0.5	4.0	CHEMBL288441:INHIBITOR;CHEMBL3109738:INHIBITOR;CHEMBL206834:INHIBITOR;CHEMBL8030:POSITIVE ALLOSTERIC MODULATOR	200.0	200.0	200.0	cache	cache	cache	5.0	0.0	0.0				0.0	0.0	0.0	UNRESOLVED	-0.7373579923120679	0.920009505703422		0.0			True	True	False	broad_SRC_family_kinase_prior_art_selectivity_safety	True	12.618130157563485	NO_GO_BLOCKED_PRIOR_OR_BROAD_BIOLOGY	2
PRKACA	1	RGS14	incoming_to_anchor;manual_seed_controller	13.9760760863746	6.9880380431873	16	HPRD;HPRD_KEA;HPRD_MIMP;KEA;MIMP;PhosphoNetworks;PhosphoPoint;PhosphoSite_KEA;PhosphoSite_MIMP;ProtMapper;SIGNOR;SIGNOR_ProtMapper									0.0			0.0								0.0	0.0	0.0				0.0	0.0	0.0	UNRESOLVED	-0.3662779128613906	0.920009505703422		0.0			False	False	False	broad_PKA_pleiotropy_no_myeloid_selectivity	True	12.4760760863746	NO_GO_BLOCKED_PRIOR_OR_BROAD_BIOLOGY	2
CD28	1	CD80	incoming_to_anchor;manual_seed_controller;outgoing_from_anchor	13.230432008040129	4.410144002680043	20	BioGRID;CellChatDB;CellPhoneDB;CellPhoneDB_Cellinker;Cellinker;DIP;HINT;HPRD;ICELLNET;KEGG-MEDICUS;LRdb;Lit-BM-17									0.0			0.0								0.0	0.0	2.3285678508460004	NO_GO_WAVE62_TARGET_RESOLUTION			3.0	3.0	0.0	UNRESOLVED	-0.1988006848198032	0.9971256078463696		0.0			False	False	False	costimulation_axis_approved_prior_art_systemic_T_cell_activation_risk	True	11.730432008040129	NO_GO_BLOCKED_PRIOR_OR_BROAD_BIOLOGY	2
