analysis	dataset_path	disease_name	compartment	role	gene	n_case_donors	n_control_donors	mean_case_log2_cpm	mean_control_log2_cpm	delta_log2_cpm	hedges_g	welch_t	p	mean_case_detection_fraction	mean_control_detection_fraction	detected_donor_fraction	mean_log2_cpm	in_lipid_lysosomal_myeloid_neighborhood	fdr	positive_nominal	negative_nominal	positive_fdr10	negative_fdr10	positive_trend	negative_trend
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	myeloid_apc	CCL20	6	6	8.31540695480134	2.229704609346253	6.085702345455086	2.568667908877159	4.819818603109187	0.0016712706999653	0.1164130778320432	0.0141499610451875	0.75	5.272555782073796	False	0.1217290766431793	True	False	False	False	True	False
ibd_crohn_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon epithelial	tissue_resident	CCL20	6	6	7.476399972738435	5.686093728307449	1.7903062444309858	2.4577985156526188	4.611784562534182	0.0035047549016709	0.1509669692793121	0.0533307726948344	1.0	6.581246850522941	False	0.1285977637769213	True	False	False	False	True	False
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	CCL20	6	6	7.362823204633252	2.229704609346253	5.133118595287	2.097910789719625	3.936495417336449	0.0043121713459448	0.0641462760992955	0.0141499610451875	0.75	4.7962639069897515	False	0.169182768706547	True	False	False	False	True	False
ibd_uc_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon epithelial	tissue_resident	CCL20	6	6	7.758118189667088	5.686093728307449	2.0720244613596392	1.735776629875131	3.256991089662272	0.0098564314002277	0.191388003845559	0.0533307726948344	1.0	6.722105958987267	False	0.1886721285468529	True	False	False	False	True	False
t1d_ductal_cell	data/raw_v3/cell_state/t1d_hpap_islet.h5ad	type 1 diabetes mellitus	pancreatic ductal cell	tissue_resident	CCL20	5	19	6.34064924789903	2.977461336159533	3.3631879117394976	1.919957062937512	3.646395493098415	0.0116858597034648	0.2167155148003273	0.0227222864063033	0.875	3.678125484438594	False	0.3689702010945167	True	False	False	False	True	False
t1d_acinar_cell	data/raw_v3/cell_state/t1d_hpap_islet.h5ad	type 1 diabetes mellitus	pancreatic acinar cell	tissue_resident	CCL20	5	18	4.954732932761842	1.819352407982308	3.135380524779534	1.733390884614659	3.1910032127753394	0.0205071812874039	0.0994599062947733	0.0064203002868905	0.782608695652174	2.500956869890902	False	0.4859925261496	True	False	False	False	True	False
t1d_endothelial_cell	data/raw_v3/cell_state/t1d_hpap_islet.h5ad	type 1 diabetes mellitus	pancreatic endothelial cell	tissue_resident	CCL20	5	17	4.320158747123811	0.5249586760054888	3.7952000711183222	2.4071988030108926	3.361823779318525	0.0231188660772365	0.0880949795633962	0.0015056805898298	0.3636363636363636	1.3875041467141982	False	0.3476704279469462	True	False	False	False	True	False
psoriasis_skin_stromal	data/raw_v3/cell_state/psoriasis_skin.h5ad	psoriasis	skin stromal	tissue_resident	CCL20	3	3	2.4749971472722865	0.837752462565608	1.6372446847066784	1.8730062419362292	2.8674434861197886	0.0459374511999426	0.0262965699004947	0.005387561040962	1.0	1.656374804918947	False	0.5792247905546628	True	False	False	False	True	False
psoriasis_keratinocyte	data/raw_v3/cell_state/psoriasis_skin.h5ad	psoriasis	skin keratinocyte	tissue_resident	CCL20	3	3	6.498630976459822	3.303436996801775	3.195193979658047	2.1049418923778407	3.222520984083833	0.0635305090803937	0.1022568293012086	0.0363682348213038	1.0	4.901033986630798	False	0.4176762418391445	False	False	False	False	True	False
t1d_stellate_cell	data/raw_v3/cell_state/t1d_hpap_islet.h5ad	type 1 diabetes mellitus	pancreatic stellate cell	tissue_resident	CCL20	4	17	3.5711223883494174	0.5317321530477542	3.039390235301663	1.955352158646226	2.0780177721004236	0.12389027714895	0.1273403751984498	0.0041803485396729	0.3333333333333333	1.1106636264385472	False	0.582072483757285	False	False	False	False	False	False
t1d_beta_cell	data/raw_v3/cell_state/t1d_hpap_islet.h5ad	type 1 diabetes mellitus	pancreatic beta cell	tissue_resident	CCL20	3	19	3.1362607835392997	0.208361299885191	2.927899483654109	2.769164177752302	1.744524373479186	0.2221846011122641	0.0958496184626837	0.0009232145779887	0.2727272727272727	0.6076203203834786	False	0.8212320145234199	False	False	False	False	False	False
ibd_crohn_stromal	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon stromal	tissue_resident	CCL20	6	6	2.0764386733512534	0.0	2.0764386733512534	0.7299571054393611	1.3696830267974591	0.2290950029953441	0.0496788992551704	0.0	0.25	1.0382193366756267	False	0.7289224610210365	False	False	False	False	False	False
sjogren_gland_apc	data/raw_v3/cell_state/sjogren_salivary.h5ad	Sjogren syndrome	salivary gland APC	myeloid_apc	CCL20	9	13	3.650578867831184	2.629151380790538	1.021427487040646	0.3986031630800143	0.989125071172388	0.3349067184873963	0.0284465105211238	0.021669152668185	0.6363636363636364	3.047008080034439	False	0.9606088452526844	False	False	False	False	False	False
