gene	wave62_call	wave104_call	wave164_score	strong_l2g_disease_count	strong_l2g_diseases	strong_qtl_coloc_disease_count	strong_qtl_coloc_diseases	ms_max_l2g_score	ms_max_qtl_h4	broad_positive_disease_count	broad_positive_fdr10_compartment_count	broad_positive_diseases	best_positive_context	ms_wm_delta_log2	ms_wm_p	ms_wm_fdr	crispr_efferocytosis_lfc	crispr_efferocytosis_fdr	chembl_target_id	druggable_activity_count	genetics_gate	cellstate_gate	ms_expression_gate	perturbation_gate	reachable_gate	local_no_go_or_prior_blocker	promote	blockers	neighbor_score
INAVA	PARK_TARGET_RESOLVED_BUT_BLOCKED_OR_NARROW	PARK_GENETICS_FIRST_NO_LIPID_STATE_CONVERGENCE	17.5	4.0	AS;Crohn;MS;UC	5.0	AS;Crohn;MS;PBC;UC	0.6894342303276062	0.9828462411264802	1.0	1.0	t1d_stellate_cell	t1d_stellate_cell	0.0	1.0	1.0	0.0	1.0		0.0	True	False	False	False	False	True	False	insufficient_cross_disease_cell_state_recurrence;no_positive_nominal_ms_white_matter_expression_anchor;no_fdr_supported_perturbation_direction;no_direct_reachable_modality;prior_or_local_no_go_blocker	0
RIPK2			0.0	1.0	Crohn	0.0		0.0	0.0	2.0	2.0	ibd_crohn_myeloid;ibd_uc_myeloid	ibd_crohn_myeloid	0.3783281126157085	0.1975312514361822	0.8993702893651148	0.2823114422074658	0.920009505703422		0.0	False	False	False	False	False	False	False	does_not_preserve_inava_ms_cross_autoimmune_genetic_anchor;insufficient_cross_disease_cell_state_recurrence;no_positive_nominal_ms_white_matter_expression_anchor;no_fdr_supported_perturbation_direction;no_direct_reachable_modality	0
NOD1			0.0	0.0		0.0		0.0	0.0	0.0	0.0			-0.1521691444746764	0.3896741492563886	0.9157809859344704	-0.4559204559827225	0.9965506589785832		0.0	False	False	False	False	False	False	False	does_not_preserve_inava_ms_cross_autoimmune_genetic_anchor;insufficient_cross_disease_cell_state_recurrence;no_positive_nominal_ms_white_matter_expression_anchor;no_fdr_supported_perturbation_direction;no_direct_reachable_modality	0
NOD2	NO_GO_WAVE62_TARGET_RESOLUTION	NO_GO_NO_MS_GENETIC_ANCHOR	3.0	1.0	Crohn	0.0		0.0	0.0	2.0	2.0	ibd_crohn_myeloid;ibd_uc_myeloid	ibd_uc_myeloid	-0.1973559991589333	0.6125834884003774	0.9476308467322015	-0.0049389744214038	0.9971256078463696	CHEMBL1293266	840.0	False	False	False	False	True	True	False	does_not_preserve_inava_ms_cross_autoimmune_genetic_anchor;insufficient_cross_disease_cell_state_recurrence;no_positive_nominal_ms_white_matter_expression_anchor;no_fdr_supported_perturbation_direction;prior_or_local_no_go_blocker	-2
ATG16L1	NO_GO_WAVE62_TARGET_RESOLUTION	NO_GO_NO_MS_GENETIC_ANCHOR	0.5	1.0	Crohn	1.0	Crohn	0.0	0.0	1.0	1.0	t1d_endothelial_cell	t1d_endothelial_cell	-0.0960188702877271	0.748415654224524	0.9703288564909704	0.2625978641797406	1.0		0.0	False	False	False	False	False	True	False	does_not_preserve_inava_ms_cross_autoimmune_genetic_anchor;insufficient_cross_disease_cell_state_recurrence;no_positive_nominal_ms_white_matter_expression_anchor;no_fdr_supported_perturbation_direction;no_direct_reachable_modality;prior_or_local_no_go_blocker	-3
IRGM	NO_GO_WAVE62_TARGET_RESOLUTION	NO_GO_NO_MS_GENETIC_ANCHOR	0.5	1.0	Crohn	1.0	Crohn	0.0	0.0	0.0	0.0			0.1158961659024804	0.8822549537436063	0.9840278968329756	0.0	1.0		0.0	False	False	False	False	False	True	False	does_not_preserve_inava_ms_cross_autoimmune_genetic_anchor;insufficient_cross_disease_cell_state_recurrence;no_positive_nominal_ms_white_matter_expression_anchor;no_fdr_supported_perturbation_direction;no_direct_reachable_modality;prior_or_local_no_go_blocker	-3
CARD9	NO_GO_WAVE62_TARGET_RESOLUTION	NO_GO_NO_MS_GENETIC_ANCHOR	0.5	0.0		1.0	AS	0.0	0.0	1.0	1.0	t1d_stellate_cell	t1d_stellate_cell	-0.4691972101237329	0.13197995180624	0.8989378106274888	0.1624335858855492	0.9965506589785832		0.0	False	False	False	False	False	True	False	does_not_preserve_inava_ms_cross_autoimmune_genetic_anchor;insufficient_cross_disease_cell_state_recurrence;no_positive_nominal_ms_white_matter_expression_anchor;no_fdr_supported_perturbation_direction;no_direct_reachable_modality;prior_or_local_no_go_blocker	-3
