disease_subtype	timepoint	n_samples
RRMS-a	baseline	1
RRMS-a	month6	1
RRMS-s	baseline	9
RRMS-s	month6	9
RRMS-s	week2	9
SPMS-a	baseline	4
SPMS-a	month6	4
SPMS-a	week2	4
SPMS-s	baseline	1
SPMS-s	month6	1
SPMS-s	week2	1
